"Goods_1010001"     "Minewerk"
"GoodsDetail_1050103"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Wand of Merlin</font><br></br>This item is now added to the current game."
"GoodsDetail_1050106"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Unidentified Item(N)</font><br></br>This item is now added to the current game."
"GoodsDetail_1050107"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Unidentified Item(R)</font><br></br>This item is now added to the current game."
"GoodsDetail_1050108"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Unidentified Item(SR)</font><br></br>This item is now added to the current game."
"GoodsDetail_1050109"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Unidentified Item(SSR)</font><br></br>This item is now added to the current game."
"GoodsDetail_1050110"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Whisper Amulet</font><br></br>This item is now added to the current game."
"GoodsDetail_1050111"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Scepter of Authority</font><br></br>This item is now added to the current game."
"GoodsDetail_1050112"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Thunder Whip</font><br></br>This item is now added to the current game."

//物品106 - 神器
"Goods_1060001"     "unlock artifact: Valrunes Stone"
"Goods_1060002"     "unlock artifact: Shadow Book"
"Goods_1060003"     "unlock artifact: Fealty ring"
"Goods_1060004"     "unlock artifact: Aran Spear"
"Goods_1060005"     "unlock artifact: Oak Stick"
"Goods_1060006"     "unlock artifact: Heroic Shield"
"Goods_1060007"     "unlock artifact: Lucky Cat"
"Goods_1060008"     "unlock artifact: Ominous Boots"
"Goods_1060009"     "unlock artifact: Impatient Hourglass"
"Goods_1060010"     "unlock artifact: GiantMask"
"Goods_1060011"     "unlock artifact: Ancient Astrolabe"
"Goods_1060012"     "unlock artifact: magic_bean"
"Goods_1060013"     "unlock artifact: Prophet Sheepskin"
"Goods_1060014"     "unlock artifact: Holy Eevenge"
"Goods_1060015"     "unlock artifact: Avenger"
"Goods_1060016"     "unlock artifact: Vengeful Goddess Bow"
"Goods_1060017"     "unlock artifact: Heros Blade"
"Goods_1060018"     "unlock artifact: Eden Panacea"
"Goods_1060019"     "unlock artifact: Book of Prophecy"
"Goods_1060020"     "unlock artifact: Ancient Amulet"
"Goods_1060021"     "unlock artifact: Amethyst Staff"
"Goods_1060022"     "unlock artifact: Pangu Axe"
"Goods_1060023"     "unlock artifact: Taboo Scroll"
"Goods_1060024"     "unlock artifact: Blood Sacrifice"
"Goods_1060025"     "unlock artifact: Lucky Sieve"
"Goods_1060026"     "unlock artifact: Discount Card"
"Goods_1060027"     "unlock artifact: Micro Universe"
"Goods_1060028"     "unlock artifact: Lycoris Radiata"
"Goods_1060029"     "unlock artifact: Guard"
"Goods_1060030"     "unlock artifact: Angel Statue"
"Goods_1060031"     "unlock artifact: Ginseng Fruit"
"Goods_1060032"     "unlock artifact: Death Seal"
"Goods_1060033"     "unlock artifact: Aristocratic Medal"
"Goods_1060034"     "unlock artifact: Curse Sword"
"Goods_1060035"     "unlock artifact: Destiny Hand"
"Goods_1060036"     "unlock artifact: Coldest Wand"
"Goods_1060037"     "unlock artifact: Time Tuner"

//解锁神器
"GoodsDetail_1060001"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Valrunes Stone</font><br></br>This item is now added to the current game."
"GoodsDetail_1060002"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Shadow Book</font><br></br>This item is now added to the current game."
"GoodsDetail_1060003"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Fealty ring</font><br></br>This item is now added to the current game."
"GoodsDetail_1060004"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Aran Spear</font><br></br>This item is now added to the current game."
"GoodsDetail_1060005"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Oak Stick</font><br></br>This item is now added to the current game."
"GoodsDetail_1060006"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Heroic Shield</font><br></br>This item is now added to the current game."
"GoodsDetail_1060007"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Lucky Cat</font><br></br>This item is now added to the current game."
"GoodsDetail_1060008"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Ominous Boots</font><br></br>This item is now added to the current game."
"GoodsDetail_1060009"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Impatient Hourglass</font><br></br>This item is now added to the current game."
"GoodsDetail_1060010"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>GiantMask</font><br></br>This item is now added to the current game."
"GoodsDetail_1060011"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Ancient Astrolabe</font><br></br>This item is now added to the current game."
"GoodsDetail_1060012"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>magic_bean</font><br></br>This item is now added to the current game."
"GoodsDetail_1060013"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Prophet Sheepskin</font><br></br>This item is now added to the current game."
"GoodsDetail_1060014"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Holy Eevenge</font><br></br>This item is now added to the current game."
"GoodsDetail_1060015"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Avenger</font><br></br>This item is now added to the current game."
"GoodsDetail_1060016"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Vengeful Goddess Bow</font><br></br>This item is now added to the current game."
"GoodsDetail_1060017"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Heros Blade</font><br></br>This item is now added to the current game."
"GoodsDetail_1060018"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Eden Panacea</font><br></br>This item is now added to the current game."
"GoodsDetail_1060019"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Book of Prophecy</font><br></br>This item is now added to the current game."
"GoodsDetail_1060020"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Ancient Amulet</font><br></br>This item is now added to the current game."
"GoodsDetail_1060021"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Amethyst Staff</font><br></br>This item is now added to the current game."
"GoodsDetail_1060022"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Pangu Axe</font><br></br>This item is now added to the current game."
"GoodsDetail_1060023"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Taboo Scroll</font><br></br>This item is now added to the current game."
"GoodsDetail_1060024"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Blood Sacrifice</font><br></br>This item is now added to the current game."
"GoodsDetail_1060025"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Lucky Sieve</font><br></br>This item is now added to the current game."
"GoodsDetail_1060026"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Discount Card</font><br></br>This item is now added to the current game."
"GoodsDetail_1060027"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Micro Universe</font><br></br>This item is now added to the current game."
"GoodsDetail_1060028"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Lycoris Radiata</font><br></br>This item is now added to the current game."
"GoodsDetail_1060029"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Guard</font><br></br>This item is now added to the current game."
"GoodsDetail_1060030"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Angel Statue</font><br></br>This item is now added to the current game."
"GoodsDetail_1060031"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Ginseng Fruit</font><br></br>This item is now added to the current game."
"GoodsDetail_1060032"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Death Seal</font><br></br>This item is now added to the current game."
"GoodsDetail_1060033"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Aristocratic Medal</font><br></br>This item is now added to the current game."
"GoodsDetail_1060034"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Curse Sword</font><br></br>This item is now added to the current game."
"GoodsDetail_1060035"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Destiny Hand</font><br></br>This item is now added to the current game."
"GoodsDetail_1060036"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Coldest Wand</font><br></br>This item is now added to the current game."
"GoodsDetail_1060037"       "<font color='#80def6'>unlock artifact: </font><font color='#FFA500'>Time Tuner</font><br></br>This item is now added to the current game."

//物品107 - 法术卡
"Goods_1070001"     "Unlocks: [Maga Fireball]"
"Goods_1070002"     "Unlocks: [Freeze]"
"Goods_1070003"     "Unlocks: [Rain of Vitality]"
"Goods_1070004"     "Unlocks: [Traction]"
"Goods_1070005"     "Unlocks: [Cataclysm]"
"Goods_1070006"     "Unlocks: [Terror]"
"Goods_1070007"     "Unlocks: [Guardian Angel]"
"Goods_1070008"     "Unlocks: [Summoning Jutsu]"
"Goods_1070009"     "Unlocks: [Thundergod's Wrath]"
"Goods_1070010"     "Unlocks: [Pursuade]"
"Goods_1070011"     "Unlocks: [Horror]"
"Goods_1070012"     "Unlocks: [Mini Chaos Golem]"
"Goods_1070013"     "Unlocks: [Last Stand]"
"Goods_1070014"     "Unlocks: [Recall]"
"Goods_1070015"     "Unlocks: [Rejuvenation]"
"Goods_1070016"     "Unlocks: [War Aid]"
"Goods_1070017"     "Unlocks: [Shadow Grave]"
"Goods_1070018"     "Unlocks: [Cripple]"
"Goods_1070019"     "Unlocks: [Endurance]"
"Goods_1070020"     "Unlocks: [Scarecrow]"
"Goods_1070021"     "Unlocks: [Guardian Tower]"
"Goods_1070022"     "Unlocks: [Gold Coupon]"
"Goods_1070023"     "Unlocks: [Crystal Coupon]"
"Goods_1070024"     "Unlocks: [Flash Grenade]"
"Goods_1070025"     "Unlocks: [Stone Skin]"
"Goods_1070026"     "Unlocks: [Physical Doping]"
"Goods_1070027"     "Unlocks: [Magic Doping]"
"Goods_1070028"     "Unlocks: [Weapon Master]"
"Goods_1070029"     "Unlocks: [Marksmanship]"
"Goods_1070030"     "Unlocks: [Wicked Coop]"
"Goods_1070031"     "Unlocks: [Mining]"
"Goods_1070032"     "Unlocks: [Stasis Trap]"
"Goods_1070033"     "Unlocks: [Power Strike]"
"Goods_1070034"     "Unlocks: [Plunder]"
"Goods_1070035"     "Unlocks: [Bombard]"
"Goods_1070036"     "Unlocks: [Immortal Resurrect]"
"Goods_1070037"     "Unlocks: [Demonic Curse]"
"Goods_1070038"     "Unlocks: [Hex]"
"Goods_1070039"     "Unlocks: [Interest Contract]"
"Goods_1070040"     "Unlocks: [Profiteer]"
"Goods_1070041"     "Unlocks: [Gold Alchemy]"
"Goods_1070042"     "Unlocks: [Crystal Alchemy]"
"Goods_1070043"     "Unlocks: [Gold Mutation]"
"Goods_1070044"     "Unlocks: [Crystal Mutation]"
"Goods_1070045"     "Unlocks: [Mighty Potion]"
"Goods_1070046"     "Unlocks: [Arcane Potion]"
"Goods_1070047"     "Unlocks: [Spell Potion]"
"Goods_1070048"     "Unlocks: [Regen Potion]"
"Goods_1070049"     "Unlocks: [Mana Potion]"
"Goods_1070050"     "Unlocks: [Armor Potion]"
"Goods_1070051"     "Unlocks: [Focus Fire]"

//解锁法术卡
"GoodsDetail_1070001"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Maga Fireball</font><br></br>This item is now added to the current game."
"GoodsDetail_1070002"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Freeze</font><br></br>This item is now added to the current game."
"GoodsDetail_1070003"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Rain of Vitality</font><br></br>This item is now added to the current game."
"GoodsDetail_1070004"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Traction</font><br></br>This item is now added to the current game."
"GoodsDetail_1070005"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Cataclysm</font><br></br>This item is now added to the current game."
"GoodsDetail_1070006"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Terror</font><br></br>This item is now added to the current game."
"GoodsDetail_1070007"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Guardian Angel</font><br></br>This item is now added to the current game."
"GoodsDetail_1070008"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Summoning Jutsu</font><br></br>This item is now added to the current game."
"GoodsDetail_1070009"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Thundergod's Wrath</font><br></br>This item is now added to the current game."
"GoodsDetail_1070010"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Pursuade</font><br></br>This item is now added to the current game."
"GoodsDetail_1070011"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Horror</font><br></br>This item is now added to the current game."
"GoodsDetail_1070012"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mini Chaos Golem</font><br></br>This item is now added to the current game."
"GoodsDetail_1070013"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Last Stand</font><br></br>This item is now added to the current game."
"GoodsDetail_1070014"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Recall</font><br></br>This item is now added to the current game."
"GoodsDetail_1070015"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Rejuvenation</font><br></br>This item is now added to the current game."
"GoodsDetail_1070016"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>War Aid</font><br></br>This item is now added to the current game."
"GoodsDetail_1070017"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Shadow Grave</font><br></br>This item is now added to the current game."
"GoodsDetail_1070018"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Cripple</font><br></br>This item is now added to the current game."
"GoodsDetail_1070019"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Endurance</font><br></br>This item is now added to the current game."
"GoodsDetail_1070020"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Scarecrow</font><br></br>This item is now added to the current game."
"GoodsDetail_1070021"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Guardian Tower</font><br></br>This item is now added to the current game."
"GoodsDetail_1070022"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gold Coupon</font><br></br>This item is now added to the current game."
"GoodsDetail_1070023"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Crystal Coupon</font><br></br>This item is now added to the current game."
"GoodsDetail_1070024"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Flash Grenade</font><br></br>This item is now added to the current game."
"GoodsDetail_1070025"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Stone Skin</font><br></br>This item is now added to the current game."
"GoodsDetail_1070026"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Physical Doping</font><br></br>This item is now added to the current game."
"GoodsDetail_1070027"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Magic Doping</font><br></br>This item is now added to the current game."
"GoodsDetail_1070028"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Weapon Master</font><br></br>This item is now added to the current game."
"GoodsDetail_1070029"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Marksmanship</font><br></br>This item is now added to the current game."
"GoodsDetail_1070030"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Wicked Coop</font><br></br>This item is now added to the current game."
"GoodsDetail_1070031"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mining</font><br></br>This item is now added to the current game."
"GoodsDetail_1070032"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Stasis Trap</font><br></br>This item is now added to the current game."
"GoodsDetail_1070033"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Power Strike</font><br></br>This item is now added to the current game."
"GoodsDetail_1070034"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Plunder</font><br></br>This item is now added to the current game."
"GoodsDetail_1070035"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Bombard</font><br></br>This item is now added to the current game."
"GoodsDetail_1070036"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Immortal Resurrect</font><br></br>This item is now added to the current game."
"GoodsDetail_1070037"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Demonic Curse</font><br></br>This item is now added to the current game."
"GoodsDetail_1070038"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Hex</font><br></br>This item is now added to the current game."
"GoodsDetail_1070039"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Interest Contract</font><br></br>This item is now added to the current game."
"GoodsDetail_1070040"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Profiteer</font><br></br>This item is now added to the current game."
"GoodsDetail_1070041"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gold Alchemy</font><br></br>This item is now added to the current game."
"GoodsDetail_1070042"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Crystal Alchemy</font><br></br>This item is now added to the current game."
"GoodsDetail_1070043"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Gold Mutation</font><br></br>This item is now added to the current game."
"GoodsDetail_1070044"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Crystal Mutation</font><br></br>This item is now added to the current game."
"GoodsDetail_1070045"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mighty Potion</font><br></br>This item is now added to the current game."
"GoodsDetail_1070046"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Arcane Potion</font><br></br>This item is now added to the current game."
"GoodsDetail_1070047"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Spell Potion</font><br></br>This item is now added to the current game."
"GoodsDetail_1070048"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Regen Potion</font><br></br>This item is now added to the current game."
"GoodsDetail_1070049"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Mana Potion</font><br></br>This item is now added to the current game."
"GoodsDetail_1070050"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Armor Potion</font><br></br>This item is now added to the current game."
"GoodsDetail_1070051"       "<font color='#80def6'>Unlocked: </font><font color='#FFA500'>Focus Fire</font><br></br>This item is now added to the current game."

//物品108 - Courier 
"Goods_1080001"     "Faceless"
"Goods_1080002"     "Baekho"
"Goods_1080003"     "Nian Beast"
"Goods_1080004"     "Cluckles the Brave"
"Goods_1080005"     "Jadegon"
"Goods_1080006"     "Golden Boxhound"
"Goods_1080007"     "Little Cat"
"Goods_1080008"     "Tory the Sky Guardian"
"Goods_1080009"     "Magic Carpet Smeevil"
"Goods_1080010"     "Grimoire The Book Wyrm"
"Goods_1080011"     "Krane the Enlightened"
"Goods_1080012"     "Doomling"
"Goods_1080013"     "Throe"
"Goods_1080014"     "Yark"
"Goods_1080015"     "Huntling"
"Goods_1080016"     "Bearzky"
"Goods_1080017"     "Diabloceratops"
"Goods_1080018"     "Outworld"
"Goods_1080019"     "Baby Roshan"
"Goods_1080020"     "Jade Baby Roshan"
"Goods_1080021"     "Golden Doomling"
"Goods_1080022"     "Golden Prophtling"
"Goods_1080023"     "Golden Huntling"
"Goods_1080024"     "Golden Venoling"
"Goods_1080025"     "Yo"
"Goods_1080026"     "Lil' Nova"
"Goods_1080027"     "Venoling"
"Goods_1080028"     "Seekling"
"Goods_1080029"     "Krobeling"
"Goods_1080030"     "Golden Outworld"
"Goods_1080031"     "Huskie"
"Goods_1080032"     "Anglerfishy"
"Goods_1080033"     "Super Nian Baby"

//物品109 - Courier 特效, 暂时用不到
"Goods_1090001"     "测试用Courier 特效1"
"Goods_1090002"     "测试用Courier 特效2"

//物品110 - Courier 称号
"Goods_1100001"     "Civilian"
"Goods_1100002"     "Rookie"
"Goods_1100003"     "Hunter"
"Goods_1100004"     "Guard"
"Goods_1100005"     "Foreman"
"Goods_1100006"     "Scavengers"
"Goods_1100007"     "Mercenary"
"Goods_1100008"     "Veteran"
"Goods_1100009"     "Major"
"Goods_1100010"     "Colonel"
"Goods_1100011"     "Commander"
"Goods_1100012"     "Lostland Scavengers"
"Goods_1100013"     "Lostland Mercenary"
"Goods_1100014"     "Lostland Veteran"
"Goods_1100015"     "Lostland Major"
"Goods_1100016"     "Lostland Colonel"
"Goods_1100017"     "Lostland Commander"

//物品111 - 头像框, 暂时用不到
"Goods_1110001"     "Default Avatar Frame"
"Goods_1110002"     "Test Avatar Frame"

//物品112 - 消耗品
"Goods_1120001"     "Starry Shine"
"Goods_1120002"     "Force of Samsara"
"Goods_1120003"     "Palpitation"
"Goods_1129001"     "Dice of Fate"

//消耗品说明
"GoodsDetail_1120001"     "<font color='#80def6'>Consume: Starry Shine</font><br></br>Temporarily upgrades the Star Level of all heroes on the battlefield. Lasts for 1 round."
"GoodsDetail_1120002"     "<font color='#80def6'>Consume: Force of Samsara</font><br></br>Resurrects all the allied heroes on the battlefield."
"GoodsDetail_1120003"     "<font color='#80def6'>Consume: Palpitation</font><br></br>Strangled enemies' throat. Setting all the enemies' HP on your battlefield to 1."
"GoodsDetail_1129001"     "<font color='#80def6'>Consume: Dice of Fate</font><br></br>Refreshes the Artifact or Items"

//物品201 - BattlePass相关
"Goods_2010001"     "Battlepass Season 1"
"Goods_2010002"     "Battlepass(S1) EXP"
"Goods_2010003"     "Battlepass Booster"

//BattlePass相关说明
"GoodsDetail_2010002"     "<font color='#80def6'>Battlepass(S1)'s EXP</font><br></br>Can be consumed to upgrade your Battlepass."
"GoodsDetail_2010003"     "<font color='#80def6'>Battlepass Booster</font><br></br>Doubles the Battlepass Experience you receive by the end of each game."

//物品202 - PLUS相关
"Goods_2020001"     "Lostland PLUS"
"GoodsDetail_2020001"     "Lostland PLUS"

//物品401 - 特殊物品
"Goods_4010001"     "Universal Hero EXP"
"Goods_4010002"     "Universal Commander EXP"
"Goods_4010003"     "Player Talent Point"
"Goods_4010004"     "Commander Talent Point"

//特殊物品说明
"GoodsDetail_4010001"     "<font color='#80def6'>Universal Hero EXP</font><br></br>Can be added to any hero's current experience bar."
"GoodsDetail_4010002"     "Universal Commander EXP"
"GoodsDetail_4010003"     "<font color='#80def6'>Player Talent Poin</font><br></br>Can be added to the talent tree in your Profile."
"GoodsDetail_4010004"     "Commander Talent Point"

//物品402 - 宝箱类
"Goods_4020001"     "Maga Treasure"
"Goods_4020002"     "Midium Treasure"
"Goods_4020003"     "Common Treasure"
"Goods_4020004"     "Squeaky Courier Collection"
"Goods_4020005"     "Squeaky Commander Collection"
"Goods_4020006"     "Hero Collection"
"Goods_4020007"     "Commander Collection"
"Goods_4020008"     "Courier Collection"
"Goods_4020009"     "Hidden Treasure"
"Goods_4020010"     "New Year Red Pocket"

//宝箱物品说明
"GoodsDetail_4020001"     "Maga Treasure"
"GoodsDetail_4020002"     "Midium Treasure"
"GoodsDetail_4020003"     "Common Treasure"
"GoodsDetail_4020004"     "Courier Collection"
"GoodsDetail_4020005"     "Commander Collection"
"GoodsDetail_4020006"     "<font color='#80def6'>Hero Collection</font><br></br>Open this treasure to get a random hero."
"GoodsDetail_4020007"     "<font color='#80def6'>Commander Collection</font><br></br>Open this treasure to get a random Commander."
"GoodsDetail_4020008"     "<font color='#80def6'>Courier Collection</font><br></br>Open this treasure to get a random Courier."
"GoodsDetail_4020009"     "Hidden Treasure"
"GoodsDetail_4020010"     "<font color='#80def6'>New Year Red Pocket</font><br></br>Open this red pack have a chance to get a Limited Courier."

//物品666 - 货币
"Goods_6660001"     "Moon Rock"
"Goods_6660002"     "Star Stone"
"Goods_6660003"     "Galaxy Powder"
"Goods_6660004"     "Soul Shard"
"Goods_6661000"     "Balance"
"Goods_6661001"     "RMB"
"Goods_6661002"     "USD"

//货币说明
"GoodsDetail_6660001"     "<font color='#80def6'>Moon Rock</font><br></br>Can be used to purchase magic items in Moon Store. Can be obtained by purchase or opening chests."
"GoodsDetail_6660002"     "<font color='#80def6'>Star Stone</font><br></br>Can be used to purchase magic items in Starry Store. Can be rewarded by playing the game or opening chests."
"GoodsDetail_6660003"     "<font color='#80def6'>Galaxy Powder</font><br></br>Can be used to purchase magic items in Galaxy Store. Can be obtained by opening chests."

//物品888 - 商品
"Goods_8881001"     "Battlepass"
"Goods_8881002"     "Battlepass EXP"
"Goods_8882002"     "Maga Treasure"
"Goods_8882003"     "Midium Treasure"
"Goods_8882004"     "Common Treasure"
"Goods_8882005"     "Hero Collection"
"Goods_8882009"     "Skeleton Pack"
"Goods_8882010"     "New Year Red Pocket"
"Goods_8883001"     "Courier Collection"
"Goods_8883002"     "Courier Collection"
"Goods_8884001"     "Dice of Fate"
"Goods_8884003"     "Starry Shine"
"Goods_8884004"     "Force of Samsara"
"Goods_8884005"     "Palpitation"
"Goods_8885001"     "1 Soul Shard"
"Goods_8885002"     "This courier is privilege for Galaxy Powder."
"Goods_8885003"     "Universal Hero EXP"
"Goods_8885005"     "Universal Commander EXP"
"Goods_8886001"     "A pocket of Moon Rocks"
"Goods_8886002"     "A sack of Moon Rocks"
"Goods_8886003"     "A crate of Moon Rocks"
"Goods_8886004"     "A pile of Moon Rocks"
"Goods_8886005"     "A barrel of Moon Rocks"
"Goods_8886006"     "Maga Moon Rock Bundle"
"Goods_8886007"     "A sack of Star Stone"
"Goods_8886008"     "A crate of Star Stone"
"Goods_8886009"     "A pile of Star Stone"
"Goods_8886010"     "A barrel of Star Stone"
"Goods_8886011"     "Maga Moon Rock Bundle"
"Goods_8882006"     "Commander Collection Bundle"
"Goods_8882007"     "Starter's Bundle"
"Goods_8882008"     "Lostland Bundle"
"Goods_8889001"     "Lostland PLUS-1 Month"
"Goods_8889002"     "Lostland PLUS-6 Months"
"Goods_8889003"     "Lostland PLUS-Permanent"
"Goods_8888001"     "Hero Collection"
"Goods_8888002"     "Commander Collection"
"Goods_8888003"     "Courier Collection"
"Goods_8888008"     "Universal Hero EXP"
"Goods_8888009"     "Daily Free Reward"
"Goods_8888010"     "PLUS Daily Reward"
"Goods_8888011"     "PLUS Daily Reward"
"Goods_8888012"     "Yak"
"Goods_8888013"     "Throe"
"Goods_8888014"     "Jadegon"
"Goods_8888015"     "Huskar"
"Goods_8888016"     "Weekly Free Reward"
"Goods_8888017"     "PLUS Weekly Free Reward"
"Goods_8888018"     "Daily Hongbao"

//商品说明
"GoodsDetail_8881001"       "<font color='#f1ab41'>Season 1 Battlepass</font><br></br>Can only be purchased once by each account<br></br>Complete the Battlepass quest for massive rewards: <br></br>※ Hero Collection<br></br>※ Commander Collection<br></br>※ Dice of Fate<br></br>※ Palpitation<br></br>※ Starry Shine<br></br>※ Force of Samsara<br></br>※ Star Stones<br></br>※ Moon Rocks<br></br>※ <font color='#80def6'>Battlepass's Privilege Commander</font><br></br>※ <font color='#f1ab41'>Battlepass's Privilege Courier</font>"
"GoodsDetail_8881002"       "Contains 1000 Battlepass EXP"
"GoodsDetail_8882002"       "Maga Treasure may get Star Stone, heroes card ranked N,R,SR or SSR and heroes exp."
"GoodsDetail_8882003"       "Midium Treasure may get Star Stone, heroes card ranked N,R or SR and heroes exp"
"GoodsDetail_8882004"       "Common Treasure may get Star Stone, heroes card ranked N or R and heroes exp."
"GoodsDetail_8882005"       "Hero Collection may get Star Stone, heroes card ranked N,R,SR or SSR and heroes exp."
"GoodsDetail_8882009"       "<font color='#f1ab41'>Skeleton Pack</font><br></br>Can only be purchased once by each account<br></br>Include: <br></br>※ 【N】Skeleton Warrior * 20<br></br>※ 【R】Oath Protecter * 20<br></brs>※ <font color='#80def6'>【SR】Ghost Mage * 20</font><br></br>※ <font color='#f1ab41'>【SSR】Immortal King * 20</font>"
