// 物品品质
"DOTA_Custom_Rarity_Tooltip_1"	"(N)"
"DOTA_Tooltip_ability_item_doubleside_sword_1_description"		"<h1>穿刺</h1> 普攻时有 %crit_chance%%% 概率造成%crit_damage_pct%%%的伤害"

//急速宝石
 "DOTA_Tooltip_ability_item_nohesitate_stone"					            "急速宝石"
 "DOTA_Tooltip_ability_item_nohesitate_stone_Description"					"<h1>急速冷却</h1>佩戴者技能冷却缩减%cooldown_reduce%秒"
 "DOTA_Tooltip_ability_item_nohesitate_stone_attack_speed_percentage"		"%+$attack_speed_percentage"



//耐力腰带
"DOTA_Tooltip_ability_item_endurance_belt"					"耐力腰带"
"DOTA_Tooltip_ability_item_endurance_belt_description"		""
"DOTA_Tooltip_ability_item_endurance_belt_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_endurance_belt_physical_armor"					"+$physical_armor"
"DOTA_Tooltip_ability_item_endurance_belt_magical_armor"					"+$magical_armor"

//魔法师戒指
"DOTA_Tooltip_ability_item_magician_ring"					            "魔法师戒指"
"DOTA_Tooltip_ability_item_magician_ring_description"		            "成为最强魔法师的入门戒指"
"DOTA_Tooltip_ability_item_magician_ring_magical_attack"		        "+$magical_attack"
"DOTA_Tooltip_ability_item_magician_ring_status_mana"					"+$status_mana"
"DOTA_Tooltip_ability_item_magician_ring_mana_regen"					"+$mana_regen"

//嗜血面具
"DOTA_Tooltip_ability_item_blood_mask"					"嗜血面具"
"DOTA_Tooltip_ability_item_blood_mask_description"		""
"DOTA_Tooltip_ability_item_blood_mask_attack_speed"					"+$attack_speed"
"DOTA_Tooltip_ability_item_blood_mask_health_regen_per"					"+$health_regen_per"

//全能指环
"DOTA_Tooltip_ability_item_perfect_ring"					"全能指环"
"DOTA_Tooltip_ability_item_perfect_ring_description"		""
"DOTA_Tooltip_ability_item_perfect_ring_physical_attack"				"+$physical_attack"
"DOTA_Tooltip_ability_item_perfect_ring_magical_attack"					"+$magical_attack"
"DOTA_Tooltip_ability_item_perfect_ring_physical_armor"					"+$physical_armor"
"DOTA_Tooltip_ability_item_perfect_ring_magical_armor"					"+$magical_armor"

//英雄长剑
"DOTA_Tooltip_ability_item_hero_sword"					"英雄长剑"
"DOTA_Tooltip_ability_item_hero_sword_physical_attack"				"+$physical_attack"
"DOTA_Tooltip_ability_item_hero_sword_elit_damage_bonus"					"%+$elit_damage_bonus"

//英雄法杖
"DOTA_Tooltip_ability_item_hero_staff"					"英雄法杖"
"DOTA_Tooltip_ability_item_hero_staff_magical_attack"					"+$magical_attack"
"DOTA_Tooltip_ability_item_hero_staff_elit_damage_bonus"					"%+$elit_damage_bonus"




// ----------------------------------------------------
// ----------------------------------------------------
//  紫装

// 无知小帽
"DOTA_Tooltip_ability_item_ignorance_hat"								"无知小帽"
"DOTA_Tooltip_ability_item_ignorance_hat_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_ignorance_hat_Description"					"<h1>无知</h1> 每次受到攻击会额外增加 %health_regen_everytimes% 点生命恢复，回合重置"

//嗜血獠牙
 "DOTA_Tooltip_ability_item_vampire_fang_1"								"嗜血獠牙"
 "DOTA_Tooltip_ability_item_vampire_fang_1_attack_helf"					"%+$attack_helf"
 "DOTA_Tooltip_ability_item_vampire_fang_1_physical_attack"				"+$physical_attack"
 "DOTA_Tooltip_ability_item_vampire_fang_1_Lore"						"一只可爱的吸血鬼的留下来的遗物，非常好用"

//振奋宝石
 "DOTA_Tooltip_ability_item_encouraging_gem_1"							"振奋宝石"
 "DOTA_Tooltip_ability_item_encouraging_gem_1_description"				"<h1>振奋</h1> 每次攻击额外获得 %attack_speed_bonus% 点攻击速度，此效果最多叠加 %stack_account%层，持续 %time_duration% 秒"
 "DOTA_Tooltip_ability_item_encouraging_gem_1_attack_speed"				"+$attack_speed"
 "DOTA_Tooltip_modifier_attack_speed_bonus_buff1"						"攻速提升"
 "DOTA_Tooltip_modifier_attack_speed_bonus_buff1_Description" 			"攻速提升 %dMODIFIER_PROPERTY_TOOLTIP2%"

//专注之心
 "DOTA_Tooltip_ability_item_heart_of_focus_1"							 "专注之心"
 "DOTA_Tooltip_ability_item_heart_of_focus_1_Description"				 "<h1>专注</h1> 持续攻击同一目标时，每次攻击都会额外提升 %attack_speed_bonus% 点攻击速度， 最高提升 120 点 \n<h1>凝神</h1> 6层专注时攻击有 %chance%%% 的概率造成眩晕，持续 %stun_time% 秒"
 "DOTA_Tooltip_modifier_item_heart_of_focus_1"							 "专注"
 "DOTA_Tooltip_modifier_item_heart_of_focus_1_Description" 				 "攻击速度提升 %dMODIFIER_PROPERTY_TOOLTIP2% "


//闪避便鞋
 "DOTA_Tooltip_ability_item_guard_shoe_1"								"闪避便鞋"
 "DOTA_Tooltip_ability_item_guard_shoe_1_description"					"<h1>闪避</h1> 佩戴者有%chance%%%的概率闪避%incoming_reduce%%%伤害"
 "DOTA_Tooltip_ability_item_guard_shoe_1_movement_speed"				"+$movement_speed"
 "DOTA_Tooltip_ability_item_guard_shoe_1_Lore"							"踏雪无痕"
 "DOTA_Tooltip_modifier_item_guard_shoe_1"								"闪避便鞋"
 "DOTA_Tooltip_modifier_item_guard_shoe_1_Description"					"移速增加%dMODIFIER_PROPERTY_TOOLTIP%<br>%dMODIFIER_PROPERTY_TOOLTIP2%%%概率闪避所有伤害"

//灼烧斗篷
 "DOTA_Tooltip_ability_item_dragon_scale_1"								"灼烧斗篷"
 "DOTA_Tooltip_ability_item_dragon_scale_1_physical_armor"				"+$physical_armor"
 "DOTA_Tooltip_ability_item_dragon_scale_1_magical_armor"				"+$magical_armor"
 "DOTA_Tooltip_ability_item_dragon_scale_1_status_health"				"+$status_health"
 "DOTA_Tooltip_ability_item_dragon_scale_1_description"					"<h1>灼烧</h1> 灼烧周围 %range% 范围内的敌方单位，每秒造成等同于自身魔法护甲的魔法伤害"

 //浩劫巨锤
"DOTA_Tooltip_ability_item_craggy_coat_1"								"浩劫巨锤"
"DOTA_Tooltip_ability_item_craggy_coat_1_physical_armor"				"+$physical_armor"
"DOTA_Tooltip_ability_item_craggy_coat_1_description"					"<h1>浩劫</h1>受到伤害时有%chance%%%概率击退周围敌人，并造成基于%health_per%%%自身最大生命值的魔法伤害\n<h1>重装</h1>每%armor_count%点护甲额外提升%health_add%点生命值上限"
"DOTA_Tooltip_modifier_item_craggy_coat_1"					"重装"
"DOTA_Tooltip_modifier_item_craggy_coat_1_description"					"生命值提升%dMODIFIER_PROPERTY_TOOLTIP%点"


//水晶剑
 "DOTA_Tooltip_ability_item_crystal_sword_1"							"水晶剑"
 "DOTA_Tooltip_ability_item_crystal_sword_1_physical_attack"			"+$physical_attack"
 "DOTA_Tooltip_ability_item_crystal_sword_1_description"				"<h1>暴击</h1> 普通攻击时有 %crit_chance%%% 概率造成 %crit_damage_pct%%% 的暴击伤害"

//狂战斧
 "DOTA_Tooltip_ability_item_bfury_1_1"									"狂战斧"
 "DOTA_Tooltip_ability_item_bfury_1_1_physical_attack"					"+$physical_attack"
 "DOTA_Tooltip_ability_item_bfury_1_1_description"						"<h1>分裂</h1> 仅近战单位佩戴有效，对攻击主目标附近的敌方单位进行分裂攻击，造成%cleave_damage%%%的伤害"

//翡翠吊坠
 "DOTA_Tooltip_ability_item_jade_pendant"								"翡翠吊坠"
 "DOTA_Tooltip_ability_item_jade_pendant_health_regen"					"+$health_regen"
 "DOTA_Tooltip_ability_item_jade_pendant_description"					"<h1>存活者耐力</h1> 每回合战斗结束时，如果携带者血量百分比大于%health_restriction%%%，则增加携带者%health_everystack%点生命值上限"
 "DOTA_Tooltip_modifier_item_jade_pendant"								"翡翠吊坠"
 "DOTA_Tooltip_modifier_item_jade_pendant_description"					"增加了%dMODIFIER_PROPERTY_TOOLTIP%点最大生命值"

//夺命法杖
 "DOTA_Tooltip_ability_item_fatal_magicalwand"							"夺命法杖"
 "DOTA_Tooltip_ability_item_fatal_magicalwand_magical_attack"			"+$magical_attack"
 "DOTA_Tooltip_ability_item_fatal_magicalwand_description"			    "<h1>魔法爆轰</h1> 每次施法后对随机敌人进行魔法爆轰，造成%damage%%%魔法攻击力的魔法伤害\n<h1>法力回复</h1> 杀死敌人后立即回复%mana_recover%点魔法值"

// 幽灵披巾
"DOTA_Tooltip_ability_item_ghost_shawl"									"虚无头巾"
"DOTA_Tooltip_ability_item_ghost_shawl_magical_attack"			        "+$magical_attack"
"DOTA_Tooltip_ability_item_ghost_shawl_description"						"<h1>虚无形态</h1>受到物理攻击时进入虚无形态，增加 %mana_regen% 点魔法回复，持续 %duration% 秒。虚灵状态下冷却缩减增加 %cooldown_reduction%%%"
// "DOTA_Tooltip_ability_item_ghost_shawl_Lore"							"小矮人为魔法师设计的披巾"

// 背叛之书
"DOTA_Tooltip_ability_item_book_of_betrayal"							"招安录"
"DOTA_Tooltip_ability_item_book_of_betrayal_magical_attack"			    "+$magical_attack"
"DOTA_Tooltip_ability_item_book_of_betrayal_description"				"<h1>招安</h1> 攻击目标生命值小于 %trigger_pct%%% 时，会转变为友方单位，最多只能转换 %max_count% 个单位，对精英怪、宝箱及首领无效，被招安单位增加招安录携带者 %bonus_damage_pct%%% 的攻击力"
// "DOTA_Tooltip_ability_item_book_of_betrayal_Lore"						"明枪易躲暗箭难防"
"DOTA_Tooltip_modifier_item_book_of_betrayal_buff"						"招安录"
"DOTA_Tooltip_modifier_item_book_of_betrayal_buff_description"		  	"该单位已经被招安"

//恐惧面具
 "DOTA_Tooltip_ability_item_mask_of_fear_1"							    "恐惧面具"
 "DOTA_Tooltip_ability_item_mask_of_fear_1_attack_speed_pct_bonus"	    "+$attack_speed"
 "DOTA_Tooltip_ability_item_mask_of_fear_1_description"					"<h1>恐惧</h1> 普通攻击有%chance%%%的几率让敌人恐惧 %time_of_fear% 秒，对宝箱和首领无效"
//  "DOTA_Tooltip_ability_item_mask_of_fear_1_Lore"						"畏惧吧少年"

//弯月刀
"DOTA_Tooltip_ability_item_crescent_sword_1"							"弯月刀"
"DOTA_Tooltip_ability_item_crescent_sword_1_attack_speed"				"+$attack_speed"
"DOTA_Tooltip_ability_item_crescent_sword_1_crit_chance"				"%+暴击概率"
"DOTA_Tooltip_ability_item_crescent_sword_1_crit_damage_pct"			"%+暴击伤害"
"DOTA_Tooltip_ability_item_crescent_sword_1_description"				"<h1>月轮</h1> 触发暴击后将隐身 %invi_duration% 秒，免疫所有伤害并推开敌人 %push_distance% 码"
"DOTA_Tooltip_modifier_item_crescent_sword_1"			"月轮"
"DOTA_Tooltip_modifier_item_crescent_sword_1_description"				"暴击后隐身"
// "DOTA_Tooltip_ability_item_crescent_sword_1_Lore"						"弯弯月刀，漫漫长夜"

//冰刀
"DOTA_Tooltip_ability_item_ice_sword_1"								"冰刀"
"DOTA_Tooltip_ability_item_ice_sword_1_magical_attack_pct"			"%+魔法攻击"
"DOTA_Tooltip_ability_item_ice_sword_1_attack_speed_percentage"		"%+攻速"
"DOTA_Tooltip_ability_item_ice_sword_1_description"					"<h1>冰刀</h1>攻击使敌人降低%move_speed_punish_pct%%%移动速度，%attack_speed_punish_pct%%%攻击速度"
"DOTA_Tooltip_modifier_item_ice_sword_debuff"						"极致低温"
"DOTA_Tooltip_modifier_item_ice_sword_debuff_description"			"降低攻速移速"
//  "DOTA_Tooltip_ability_item_ice_sword_1_Lore"							"藏在冬日里的杀手"

// 暗杀名单
"DOTA_Tooltip_ability_item_list_of_assassins"							"暗杀名单"
"DOTA_Tooltip_ability_item_list_of_assassins_physical_attack"			"+$physical_attack"
"DOTA_Tooltip_ability_item_list_of_assassins_description"		        "<h1>暗杀</h1> 向血量最低的一名敌人投掷%bonus_count%枚匕首，造成%physical2physical%%%攻击力的物理伤害"

//隐身斗篷
"DOTA_Tooltip_ability_item_invisible_cloak_1"							"隐身斗篷"
"DOTA_Tooltip_ability_item_invisible_cloak_1_description"							"<h1>隐身</h1>回合开始时进入隐身状态。当其他友方英雄全部死亡时，脱离隐身"
"DOTA_Tooltip_ability_item_invisible_cloak_1_magical_attack"			"+魔法攻击"
"DOTA_Tooltip_modifier_item_invisible_cloak_buff"				"隐身斗篷"
"DOTA_Tooltip_modifier_item_invisible_cloak_buff_description"				"隐身状态，当队友全部死亡时效果消失"

// 图坦卡蒙面具
"DOTA_Tooltip_ability_item_tutankhamun_mask"							"图坦卡蒙面具"
"DOTA_Tooltip_ability_item_tutankhamun_mask_physical_armor"				"+$physical_armor"
"DOTA_Tooltip_ability_item_tutankhamun_mask_magical_armor"				"+$magical_armor"
"DOTA_Tooltip_ability_item_tutankhamun_mask_description"				"<h1>魔法师的复仇</h1> 每次施放法术对伤害过自身的单位造成一次等同于%physical2physical%%%攻击力的物理伤害"
// "DOTA_Tooltip_ability_item_tutankhamun_mask_Lore"						"神秘埃及法老王的诅咒面具"

//猛兽犄角
 "DOTA_Tooltip_ability_item_beast_horns_1"						        "猛兽犄角"
 "DOTA_Tooltip_ability_item_beast_horns_1_description"			        "<h1>野性霸体</h1> 当生命低于%health_pct%%%的时候开启野性霸体，%time_duration%秒内无视所有物理伤害"
//  "DOTA_Tooltip_ability_item_beast_horns_1_Lore"					        "有了猛兽犄角，美女都会害怕"
 "DOTA_Tooltip_ability_item_beast_horns_1_magical_armor"				"+$magical_armor"
 "DOTA_Tooltip_ability_item_beast_horns_1_physical_armor"				"+$physical_armor"
 "DOTA_Tooltip_modifier_beast_horns_magical_immune"						"野性霸体"
 "DOTA_Tooltip_modifier_beast_horns_magical_immune_Description"		    "物理免疫"

//玲珑心
"DOTA_Tooltip_ability_item_octarine_core_1"								"玲珑心"
"DOTA_Tooltip_ability_item_octarine_core_1_description"					"<h1>冷却缩减</h1>所有技能和物品的冷却时间减少%cooldown_reduction%%%"
// "DOTA_Tooltip_ability_item_octarine_core_1_Lore"						"我好了"
"DOTA_Tooltip_ability_item_octarine_core_1_mana_regen_percentage"		"%+$mana_regen"
"DOTA_Tooltip_ability_item_octarine_core_1_status_mana"					"+$status_mana"
"DOTA_Tooltip_ability_item_octarine_core_1_status_health"				"+$status_health"

//智慧战旗
 "DOTA_Tooltip_ability_item_banner_of_warrior_1"						"智慧战旗"
 "DOTA_Tooltip_ability_item_banner_of_warrior_1_mana_regen"			  "+$mana_regen"
 "DOTA_Tooltip_ability_item_banner_of_warrior_1_description"			"<h1>运筹帷幄</h1> %range% 范围内无友方英雄时，每秒提升佩戴者 %magical_attack_bonus% 点魔法攻击力，最高叠加 %stack_count% 层"
//  "DOTA_Tooltip_ability_item_banner_of_warrior_1_Lore"					"聪明人总是单独行动"
 "DOTA_Tooltip_modifier_item_banner_of_warrior_1"						"智慧战旗"
 "DOTA_Tooltip_modifier_item_banner_of_warrior_1_Description" 			"魔法攻击提升 %dMODIFIER_PROPERTY_TOOLTIP2%"


//雷霆锤
 "DOTA_Tooltip_ability_item_thunder_hammer_1"							"雷霆锤"
 "DOTA_Tooltip_ability_item_thunder_hammer_1_magical_damage"			"+魔法攻击"
 "DOTA_Tooltip_ability_item_thunder_hammer_1_description"				"<h1>额外效果</h1> 普通攻击有 %chance%%% 的几率释放闪电，对所有弹射目标造成%magic_damage_extra%倍攻击力的魔法伤害"
//  "DOTA_Tooltip_ability_item_thunder_hammer_1_Lore"						"来自于雷电法王的力量"
 "DOTA_Tooltip_ability_item_thunder_hammer_1_magical_attack"			"+$magical_attack"

// 玛雅神盾
"DOTA_Tooltip_ability_item_maya_shield_1"								"玛雅神盾"
"DOTA_Tooltip_ability_item_maya_shield_1_health_regen"					"+$health_regen"
"DOTA_Tooltip_ability_item_maya_shield_1_block"					        "+伤害格挡"
"DOTA_Tooltip_ability_item_maya_shield_1_description"					"<h1>神盾之力</h1>每回合开始战斗后，每隔 %interval% 秒会释放玛雅神盾之力，免疫伤害 %duration% 秒"
"DOTA_Tooltip_modifier_item_maya_shield_1_buff"					"神盾之力"
"DOTA_Tooltip_modifier_item_maya_shield_1_buff_description"					"免疫所有伤害"
// "DOTA_Tooltip_ability_item_maya_shield_1_Lore"							"玛雅的传说无人可以知晓，但又十分奇妙"

//异次元之壁
 "DOTA_Tooltip_ability_item_heterodimensionality_1"						"异次元之壁"
 "DOTA_Tooltip_ability_item_heterodimensionality_1_mana_regen"			"+$mana_regen"
 "DOTA_Tooltip_ability_item_heterodimensionality_1_description"			"<h1>破壁</h1>每次释放技能 %range% 范围内将受到怪物当前生命值%health_reduce_pct%%%的魔法伤害，对BOSS及宝箱无效，最高不超过携带者攻击力之和的%damagefactor%%%\n<h1>次元突破</h1> 释放技能时，如果佩戴者生命值低于 %health_self_pct%%% 的时候会恢复当前生命值的 %health_recover_pct%%%"
 "DOTA_Tooltip_modifier_item_heterodimensionality_1"					"恢复"
 "DOTA_Tooltip_modifier_item_heterodimensionality_1_Description"		"释放技能时恢复自身血量总值的%dMODIFIER_PROPERTY_TOOLTIP2%%% "
 "DOTA_Tooltip_modifier_heterodimensionality_buff"					    "破壁"
 "DOTA_Tooltip_modifier_heterodimensionality_buff_Description"		    "受到施法者生命值相关的魔法伤害"


//圣灯
"DOTA_Tooltip_ability_item_panic_button_1"								"圣灯"
"DOTA_Tooltip_ability_item_panic_button_1_description"					"<h1>圣光之辉</h1> 周围%range%范围的友军受到的伤害减少%incoming_per%%%"
"DOTA_Tooltip_ability_item_panic_button_1_Lore"							"拖动物品到英雄身上装备，点击物品图标打开商店"
"DOTA_Tooltip_ability_item_panic_button_1_physical_armor_pct"			"%+$physical_armor_pct"
"DOTA_Tooltip_ability_item_panic_button_1_magical_armor_pct"			"%+$magical_armor_pct"
"DOTA_Tooltip_modifier_item_panic_button_1"							 	"圣光之辉"
"DOTA_Tooltip_modifier_item_panic_button_1_Description" "				周围的队友受到的伤害减少 %dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_item_panic_button_debuff"						"圣光之辉"
"DOTA_Tooltip_modifier_item_panic_button_debuff_Description" 			"受到的伤害减少 %dMODIFIER_PROPERTY_TOOLTIP%%%"


//圣剑
"DOTA_Tooltip_ability_item_rapier_1"									"圣剑"
"DOTA_Tooltip_ability_item_rapier_1_description"						"<h1>圣剑之耀</h1> 周围%range%范围的敌人受到的伤害增加%damage_per%%%"
"DOTA_Tooltip_ability_item_rapier_1_Lore"								"这下牛笔了"
"DOTA_Tooltip_ability_item_rapier_1_physical_attack_pct"				"%+$physical_attack_pct"
"DOTA_Tooltip_ability_item_rapier_1_magical_attack_pct"					"%+$magical_attack_pct"
"DOTA_Tooltip_modifier_item_rapier_1"							 		"圣剑之耀"
"DOTA_Tooltip_modifier_item_rapier_1_Description"					   "周围敌人受到的伤害增加 %dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_modifier_item_rapier_debuff"								"圣剑之耀"
"DOTA_Tooltip_modifier_item_rapier_debuff_Description" 					"受到的伤害增加 %dMODIFIER_PROPERTY_TOOLTIP%%%"

// ----------------------------------------------------
// ----------------------------------------------------
//  橙色

// 灭世枪
"DOTA_Tooltip_ability_item_gante_sword"									"灭世枪"
"DOTA_Tooltip_ability_item_gante_sword_physical_attack"				    "+$physical_attack"
"DOTA_Tooltip_ability_item_gante_sword_description"						"<h1>灭世</h1>攻击敌人的时候有%chance%%%的概率进入灭世状态，提升%attack_bonus_pct%%%物理攻击力和%attack_speed_bonus%%%攻速，持续%duration%秒。\n<h1>灭甲</h1>每次攻击敌人都会降低敌人当前%armor_reduce_pct%%%(首领%armor_reduce_pct_boss%%%)的物理护甲，持续%debuff_duration%秒。"
"DOTA_Tooltip_modifier_item_gante_sword_buff"						    "灭世"
"DOTA_Tooltip_modifier_item_gante_sword_buff_Description"				"提升%dMODIFIER_PROPERTY_TOOLTIP%%%攻击力和%dMODIFIER_PROPERTY_TOOLTIP%%%攻速"
"DOTA_Tooltip_modifier_item_gante_sword_armor_reduce_buff"				"灭甲"
"DOTA_Tooltip_modifier_item_gante_sword_armor_reduce_buff_Description"	"物理护甲降低%dMODIFIER_PROPERTY_TOOLTIP%%%"

// 勇气勋章
"DOTA_Tooltip_ability_item_courage_medallion"							"勇气勋章"
"DOTA_Tooltip_ability_item_courage_medallion_physical_armor"			"+$physical_armor"
"DOTA_Tooltip_ability_item_courage_medallion_status_health"			    "+$status_health"
"DOTA_Tooltip_ability_item_courage_medallion_description"				"<h1>陷阵</h1> 每回合开始战斗时增加%movespeed%点移速，%attack_pct%%%物理攻击力与%armor_pct%%%物理护甲的加成，效果在%duration%秒内递减\n<h1>趁胜追击</h1> 每次击杀单位或队友阵亡，[陷阵]效果重置"
"DOTA_Tooltip_modifier_item_courage_medallion_buff"						"勇气勋章"
"DOTA_Tooltip_modifier_item_courage_medallion_buff_Description"			"增加%dMODIFIER_PROPERTY_TOOLTIP%点移速<br>增加%dMODIFIER_PROPERTY_TOOLTIP%%%物理攻击力<br>增加%dMODIFIER_PROPERTY_TOOLTIP%%%物理护甲"

// 圣法书
"DOTA_Tooltip_ability_item_famous_wand"									"圣法书"
"DOTA_Tooltip_ability_item_famous_wand_magical_attack"                  "+$magical_attack"
"DOTA_Tooltip_ability_item_famous_wand_description"						"<h1>法典</h1> 魔法伤害提高%magical_outgoing%%%\n<h1>法术吸血</h1>获得%magical_helf%%%法术吸血"

// 米斯特汀
"DOTA_Tooltip_ability_item_mystletainn"									"米斯特汀"
"DOTA_Tooltip_ability_item_mystletainn_physical_attack_pct"		    	"%+$physical_attack_pct"
//"DOTA_Tooltip_ability_item_mystletainn_attack_helf"		    	        "%+$attack_helf"
"DOTA_Tooltip_ability_item_mystletainn_description"						"<h1>榭寄生</h1>每秒吸取拥有者%health_absorb%%%的生命值，吸取的每点生命值会增加%attack_per_health%点物理攻击力，持续%duration%秒\n<h1>弑神</h1>每吸取%critical_per_attack%次生命，下一次攻击将会造成%critical_mult%倍伤害"
"DOTA_Tooltip_modifier_item_mystletainn_buff"							"米斯特汀"
"DOTA_Tooltip_modifier_item_mystletainn_buff_description"				"该单位暂时提升了攻击力，但将持续损失生命值"
"DOTA_Tooltip_modifier_item_mystletainn"							    "米斯特汀"
"DOTA_Tooltip_modifier_item_mystletainn_description"				    "每秒提升%dMODIFIER_PROPERTY_TOOLTIP%攻击力"

//漫射宝石
 "DOTA_Tooltip_ability_item_divergent_gem_1"							"漫射宝石"
 "DOTA_Tooltip_ability_item_divergent_gem_1_status_health"				"+$status_health"
 "DOTA_Tooltip_ability_item_divergent_gem_1_description"				"<h1>抗魔</h1> 完全免疫魔法伤害， 但将额外受到 %physical_damage_punishment_pct%%% 物理伤害 \n<h1>刃甲</h1> 将受到的物理伤害以 %magical_rebound_pct%%% 的倍率反弹给 %range% 范围内的所有敌人"
//  "DOTA_Tooltip_ability_item_divergent_gem_1_Lore"						"我怕体罚，不怕唾沫星"
 "DOTA_Tooltip_modifier_item_divergent_gem_1"							"反弹物理"
 "DOTA_Tooltip_modifier_item_divergent_gem_1_Description" 				"免疫魔法伤害，受到额外物理伤害，且反弹 %dMODIFIER_PROPERTY_TOOLTIP2%%% 受到的物理伤害给范围内 %dMODIFIER_PROPERTY_TOOLTIP% 的敌人"

//幻影斧
 "DOTA_Tooltip_ability_item_mantas_1"									"幻影斧"
 "DOTA_Tooltip_ability_item_mantas_1_physical_attack"                   "+$physical_attack"
 "DOTA_Tooltip_ability_item_mantas_1_magical_attack"                    "+$magical_attack"
 "DOTA_Tooltip_ability_item_mantas_1_description"						"<h1>幻影</h1> 创造%illusion_count%个幻象，继承本体 %attribute_have_pct%%% 的属性。幻象持续 %time_duration% 秒"
 "DOTA_Tooltip_ability_item_mantas_1_Lore"							    "据说是用幻影长矛手的衣服上的金属做的斧头"

// 撒旦之邪力
"DOTA_Tooltip_ability_item_satan_power"									"撒旦之邪力"
"DOTA_Tooltip_ability_item_satan_power_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_satan_power_description"						"<h1>邪力</h1> 增加不稳定的主攻击力，最高增加%max_damage%%%，最低增加%min_damage%%% \n<h1>邪力侵袭</h1> 开战时吸取所有友军%absorb_pct%%%的同类主攻击力"
"DOTA_Tooltip_modifier_item_satan_power_debuff"                         "邪力汲取"
"DOTA_Tooltip_modifier_item_satan_power_debuff_description"             "被撒旦之邪力汲取力量，每1点导致自己失去1%与撒旦之邪力拥有者主攻击力相同类型的攻击力"
"DOTA_Tooltip_modifier_item_satan_power"								"撒旦之邪力"
"DOTA_Tooltip_modifier_item_satan_power_description"					"获得邪力，每1点提升1%%%主攻击力"
"DOTA_Tooltip_modifier_item_satan_power_buff"							"支配邪力"
"DOTA_Tooltip_modifier_item_satan_power_buff_description"				"使用邪力汲取友方的力量，每1点汲取友方1%%%属于自己主攻击力类型的攻击力"

//阿努比斯的使者
"DOTA_Tooltip_ability_item_messenger_of_anubis_1"						"阿努比斯的使者"
"DOTA_Tooltip_ability_item_messenger_of_anubis_1_physical_attack"       "+$physical_attack"
"DOTA_Tooltip_ability_item_messenger_of_anubis_1_magical_attack"        "+$magical_attack"
"DOTA_Tooltip_ability_item_messenger_of_anubis_1_description"			"<h1>死神之力</h1> 死亡时能分裂为 %illusion_count% 个幻象，幻象具有 %illusion_outgoing_damage%%% 属性"
//  "DOTA_Tooltip_ability_item_messenger_of_anubis_1_Lore"				"死神，来收人了"


//弩炮
"DOTA_Tooltip_ability_item_ballista_1"									"弩炮"
"DOTA_Tooltip_ability_item_ballista_1_description"						"<h1>远程分裂</h1>每 %attack_count%次普攻触发，对目标周围%aoe_range%范围内的单位发射分裂箭"
// "DOTA_Tooltip_ability_item_ballista_1_Lore"							"远处OB，伤害第一"
"DOTA_Tooltip_ability_item_ballista_1_attack_speed_percentage"			"%+$attack_speed"
"DOTA_Tooltip_ability_item_ballista_1_attack_range_of_range"			"+$attack_range_of_range"

 // 幻境魔方
"DOTA_Tooltip_ability_item_magic_cube"									"幻境魔方"
"DOTA_Tooltip_ability_item_magic_cube_magical_attack"					"+$magical_attack"
"DOTA_Tooltip_ability_item_magic_cube_description"						"<h1>幻术魔方</h1> 施法时召唤%cube_count%个魔方，对周围的单位造成%magical2magical%%%魔法伤害与%stun_duration%秒晕眩"
// "DOTA_Tooltip_ability_item_magic_cube_Lore"							"大多数法师认为魔方谜题仅仅是个宝贝"

 //双击法杖
"DOTA_Tooltip_ability_item_doubleclick_wand_1"							"双击法杖"
"DOTA_Tooltip_ability_item_doubleclick_wand_1_attack_speed"				"+$attack_speed"
"DOTA_Tooltip_ability_item_doubleclick_wand_1_magical_attack"			"+$magical_attack"
"DOTA_Tooltip_ability_item_doubleclick_wand_1_description"				"<h1>双重施法</h1> 佩戴者在普通攻击时有%chance%%%概率打出一发导弹，造成等同于 %damage_factor%%% 魔法攻击力的魔法伤害，导弹还将晕眩目标 %stun_time% 秒"
// "DOTA_Tooltip_ability_item_doubleclick_wand_1_Lore"					"这里是导弹工厂~"

// 朗基努斯之枪
"DOTA_Tooltip_ability_item_longinus"									"朗基努斯之枪"
"DOTA_Tooltip_ability_item_longinus_magical_attack"                     "+$magical_attack"
"DOTA_Tooltip_ability_item_longinus_description"						"<h1>纯粹之枪</h1> 每%attack_count%次攻击造成一次%magical2magical%%%魔法攻击力的纯粹伤害\n<h1>AT力场</h1>每隔%interval%秒展开一个等同于 %shield_health%%% 魔法攻击力的护盾。"
// "DOTA_Tooltip_ability_item_longinus_Lore"							"穿透神圣不可侵犯的结界"

//流行蝴蝶剑
 "DOTA_Tooltip_ability_item_metor_butterfly_sword_1"							"流星蝴蝶剑"
 "DOTA_Tooltip_ability_item_metor_butterfly_sword_1_attack_speed_percentage"	"%+$attack_speed_percentage"
