// 物品品质
"DOTA_Custom_Rarity_Tooltip_1"	"(N)"
 "DOTA_Tooltip_ability_item_nohesitate_stone_Description"					"<h1>CD Reduction</h1>Reduces the cooldown time of all spells by %cooldown_reduce% seconds."
 "DOTA_Tooltip_ability_item_nohesitate_stone_attack_speed_percentage"		"%+$attack_speed_percentage"



//耐力腰带
"DOTA_Tooltip_ability_item_endurance_belt"					"Belt of Endurance"
"DOTA_Tooltip_ability_item_endurance_belt_description"		""
"DOTA_Tooltip_ability_item_endurance_belt_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_endurance_belt_physical_armor"					"+$physical_armor"
"DOTA_Tooltip_ability_item_endurance_belt_magical_armor"					"+$magical_armor"

//魔法师戒指
"DOTA_Tooltip_ability_item_magician_ring"					            "Magi's Möbius Ring"
"DOTA_Tooltip_ability_item_magician_ring_description"		            "Symbol of the strongest magi, which is longed for by the whole magic world."
"DOTA_Tooltip_ability_item_magician_ring_magical_attack"		        "+$magical_attack"
"DOTA_Tooltip_ability_item_magician_ring_status_mana"					"+$status_mana"
"DOTA_Tooltip_ability_item_magician_ring_mana_regen"					"+$mana_regen"

//嗜血面具
"DOTA_Tooltip_ability_item_blood_mask"					"Bloodthirsty Veil"
"DOTA_Tooltip_ability_item_blood_mask_description"		""
"DOTA_Tooltip_ability_item_blood_mask_attack_speed"					"+$attack_speed"
"DOTA_Tooltip_ability_item_blood_mask_health_regen_per"					"+$health_regen_per"

//全能指环
"DOTA_Tooltip_ability_item_perfect_ring"					    "Omni Knuckles"
"DOTA_Tooltip_ability_item_perfect_ring_description"		""
"DOTA_Tooltip_ability_item_perfect_ring_physical_attack"				"+$physical_attack"
"DOTA_Tooltip_ability_item_perfect_ring_magical_attack"					"+$magical_attack"
"DOTA_Tooltip_ability_item_perfect_ring_physical_armor"					"+$physical_armor"
"DOTA_Tooltip_ability_item_perfect_ring_magical_armor"					"+$magical_armor"

//英雄长剑
"DOTA_Tooltip_ability_item_hero_sword"					"Spatha of Hercules"
"DOTA_Tooltip_ability_item_hero_sword_physical_attack"				"+$physical_attack"
"DOTA_Tooltip_ability_item_hero_sword_elit_damage_bonus"					"%+$elit_damage_bonus"

//英雄法杖
"DOTA_Tooltip_ability_item_hero_staff"					"Wand of Merlin"
"DOTA_Tooltip_ability_item_hero_staff_magical_attack"					"+$magical_attack"
"DOTA_Tooltip_ability_item_hero_staff_elit_damage_bonus"					"%+$elit_damage_bonus"




// ----------------------------------------------------
// ----------------------------------------------------
//  紫装

// 无知小帽
"DOTA_Tooltip_ability_item_ignorance_hat"								"Witless Shako"
"DOTA_Tooltip_ability_item_ignorance_hat_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_ignorance_hat_Description"					"<h1>Witless</h1> Gains %health_regen_everytimes% bonus health regen upon being attacked. Resets by the end of the current round."

//嗜血獠牙
 "DOTA_Tooltip_ability_item_vampire_fang_1"								"Vampire Fangs"
 "DOTA_Tooltip_ability_item_vampire_fang_1_attack_helf"					"%+$attack_helf"
 "DOTA_Tooltip_ability_item_vampire_fang_1_physical_attack"				"+$physical_attack"
 "DOTA_Tooltip_ability_item_vampire_fang_1_Lore"						"Lost by the most lovely Vampire: Emiel Regis Rohellec Terzieff-Godefroy, who is better known simply as Regis."

//振奋宝石
 "DOTA_Tooltip_ability_item_encouraging_gem_1"							"Encourage Stone"
 "DOTA_Tooltip_ability_item_encouraging_gem_1_description"				"<h1>Encourage</h1> Gains %attack_speed_bonus% bonus attack speed upon attacking. Stacks up to %stack_account% and lasts %time_duration% seconds."
 "DOTA_Tooltip_ability_item_encouraging_gem_1_attack_speed"				"+$attack_speed"
 "DOTA_Tooltip_modifier_attack_speed_bonus_buff1"						"Bonus Attack Speed"
 "DOTA_Tooltip_modifier_attack_speed_bonus_buff1_Description" 			"Attack Speed increased by %dMODIFIER_PROPERTY_TOOLTIP2%."

//专注之心
 "DOTA_Tooltip_ability_item_heart_of_focus_1"							 "Core of Fervor"
 "DOTA_Tooltip_ability_item_heart_of_focus_1_Description"				 "<h1>Focus</h1> With each continuous blow on the same target, gains %attack_speed_bonus% attack speed upon each attack. Stacks to 120 bonus attack speed.\n<h1>Gaze</h1> When Focus stacks reach 6, attacks on the same target will have a %chance%%% chance to stun it for %stun_time% seconds."
 "DOTA_Tooltip_modifier_item_heart_of_focus_1"							 "Core of Fervor"
 "DOTA_Tooltip_modifier_item_heart_of_focus_1_Description" 				 "+%dMODIFIER_PROPERTY_TOOLTIP2% attack speed on the same target"


//闪避便鞋
 "DOTA_Tooltip_ability_item_guard_shoe_1"								"Loafer of Evasion"
 "DOTA_Tooltip_ability_item_guard_shoe_1_description"					"<h1>Evasion</h1> +%chance%%% evasion to all types of damage"
 "DOTA_Tooltip_ability_item_guard_shoe_1_movement_speed"				"+$movement_speed"
 "DOTA_Tooltip_modifier_item_guard_shoe_1"								"Loafer of Evasion"
 "DOTA_Tooltip_modifier_item_guard_shoe_1_Description"					"movespeed increase %dMODIFIER_PROPERTY_TOOLTIP%<br>%dMODIFIER_PROPERTY_TOOLTIP2%%% chances miss all damage"

//灼烧斗篷
 "DOTA_Tooltip_ability_item_dragon_scale_1"								"Scorching Cloak"
 "DOTA_Tooltip_ability_item_dragon_scale_1_physical_armor"				"+$physical_armor"
 "DOTA_Tooltip_ability_item_dragon_scale_1_magical_armor"				"+$magical_armor"
 "DOTA_Tooltip_ability_item_dragon_scale_1_status_health"				"+$status_health"
 "DOTA_Tooltip_ability_item_dragon_scale_1_description"					"<h1>Scorch</h1> Scorch the land aournd, dealing magic damage based on the carrier's Magic armor to enemies within a radius of %range% units."

 //浩劫巨锤
"DOTA_Tooltip_ability_item_craggy_coat_1"								"Mace of Havoc"
"DOTA_Tooltip_ability_item_craggy_coat_1_physical_armor"				"+$physical_armor"
"DOTA_Tooltip_ability_item_craggy_coat_1_description"					"<h1>Havoc</h1>Gains a %chance%%% chance to knock the enemies back upon taking damage, dealing magic damage to affected units as %health_per%%% of the carrier's Max HP.\n<h1>Heavy Armor</h1>Every %armor_count% Armor will provide %health_add% Max HP additionally."
"DOTA_Tooltip_modifier_item_craggy_coat_1"					            "Mace of Havoc"
"DOTA_Tooltip_modifier_item_craggy_coat_1_description"					"Health increase %dMODIFIER_PROPERTY_TOOLTIP%"


//水晶剑
 "DOTA_Tooltip_ability_item_crystal_sword_1"							"Crystalys"
 "DOTA_Tooltip_ability_item_crystal_sword_1_physical_attack"			"+$physical_attack"
 "DOTA_Tooltip_ability_item_crystal_sword_1_description"				"<h1>Crit Strike</h1> Grants each attack a %crit_chance%%% chance to deal %crit_damage_pct%%% damage."

//狂战斧
 "DOTA_Tooltip_ability_item_bfury_1_1"									"Battle Fury"
 "DOTA_Tooltip_ability_item_bfury_1_1_physical_attack"					"+$physical_attack"
 "DOTA_Tooltip_ability_item_bfury_1_1_description"						"<h1>Cleave</h1> Melee only. Deals %cleave_damage%%% of attack damage to enemy units around the main target."

//翡翠吊坠
 "DOTA_Tooltip_ability_item_jade_pendant"								"Jade Pendant"
 "DOTA_Tooltip_ability_item_jade_pendant_health_regen"					"+$health_regen"
 "DOTA_Tooltip_ability_item_jade_pendant_description"					"<h1>Survivor's Endurance</h1> At the end of each round, if the carrier survives and has no less than %health_restriction%%% health remaining, gains %health_everystack% Max HP."
 "DOTA_Tooltip_modifier_item_jade_pendant"								"Jade Pendant"
 "DOTA_Tooltip_modifier_item_jade_pendant_description"					"+%dMODIFIER_PROPERTY_TOOLTIP% Max HP"

//夺命法杖
 "DOTA_Tooltip_ability_item_fatal_magicalwand"							"Nether Wand"
 "DOTA_Tooltip_ability_item_fatal_magicalwand_magical_attack"			"+$magical_attack"
 "DOTA_Tooltip_ability_item_fatal_magicalwand_description"			    "<h1>Nether Blast</h1> Cast an exploding pulse to a random enemy unit whenever the carrier casts a spell, damaging the target as %damage%%% of carrier's Magic Damage\n<h1>Nether Regen</h1> Restores %mana_recover% mana upon killing an enemy unit."

// 幽灵披巾
"DOTA_Tooltip_ability_item_ghost_shawl"									"Ghost Shawl"
"DOTA_Tooltip_ability_item_ghost_shawl_magical_attack"			        "+$magical_attack"
"DOTA_Tooltip_ability_item_ghost_shawl_description"						"<h1>Ghost Form</h1>Enters ghost form for %duration% seconds upon taking physical damage, gaining %mana_regen% mana regen and reducing all the cooldowns by %cooldown_reduction%%%."
// "DOTA_Tooltip_ability_item_ghost_shawl_Lore"							"The shawl infused with the magic of dwarfs can help the magician avoid danger."

// 背叛之书
"DOTA_Tooltip_ability_item_book_of_betrayal"							"Tome of Persuasion"
"DOTA_Tooltip_ability_item_book_of_betrayal_magical_attack"			    "+$magical_attack"
"DOTA_Tooltip_ability_item_book_of_betrayal_description"				"<h1>Persuade</h1> Grants the carrier overwhelming persuasion skills. Attacking an enemy unit with no more than %trigger_pct%%% health will persuade it to surrender and serve for your army. The carrier can persuade up to %max_count% units and grants them bonus damage as %bonus_damage_pct%%% of his attack damage. Cannot affect Elite, Boxhound, and Boss units."
// "DOTA_Tooltip_ability_item_book_of_betrayal_Lore"						"Better the devil you know than the devil you don't."
"DOTA_Tooltip_modifier_item_book_of_betrayal_buff"						"Tome of Persuasion"
"DOTA_Tooltip_modifier_item_book_of_betrayal_buff_description"		  "Surrendered."

//恐惧面具
 "DOTA_Tooltip_ability_item_mask_of_fear_1"							    "Mask of Terror"
 "DOTA_Tooltip_ability_item_mask_of_fear_1_attack_speed_pct_bonus"	    "+$attack_speed"
 "DOTA_Tooltip_ability_item_mask_of_fear_1_description"					"<h1>Terrorize</h1> Grants each attack a %chance%%% chance to terrorize the target unit for %time_of_fear% seconds. Cant affect Boxhound and Boss units."
//  "DOTA_Tooltip_ability_item_mask_of_fear_1_Lore"						"U Better Fear Me."

//弯月刀
"DOTA_Tooltip_ability_item_crescent_sword_1"							"Crescent Blade"
"DOTA_Tooltip_ability_item_crescent_sword_1_attack_speed"				"+$attack_speed"
"DOTA_Tooltip_ability_item_crescent_sword_1_crit_chance"				"%+Crit Chance"
"DOTA_Tooltip_ability_item_crescent_sword_1_crit_damage_pct"			"%+Crit Damage"
"DOTA_Tooltip_ability_item_crescent_sword_1_description"				"<h1>Force of Crescent</h1> Becomes invisible and invincible to enemies for %invi_duration% seconds and knocks its target back for %push_distance% range when the carrier procs Critical damage."
// "DOTA_Tooltip_ability_item_crescent_sword_1_Lore"						"The daylight sank deeper and deeper into the darkness, and the widowed land, whose harvest had been reaped, lay silent. - Rabindranath Tagore"

//冰刀
"DOTA_Tooltip_ability_item_ice_sword_1"								"Frost Blade"
"DOTA_Tooltip_ability_item_ice_sword_1_magical_attack_pct"			"%+$magical_attack_pct"
"DOTA_Tooltip_ability_item_ice_sword_1_attack_speed_percentage"		"%+$attack_speed_percentage"
"DOTA_Tooltip_ability_item_ice_sword_1_description"					"<h1>Frost Strike</h1>Attacks lower enemy movement speed by %move_speed_punish_pct%%%, and attack speed by %attack_speed_punish_pct%%%."
"DOTA_Tooltip_modifier_item_ice_sword_buff"							"Frost Blade"
"DOTA_Tooltip_modifier_item_ice_sword_buff_description"				"Movement speed and attack speed slowed."
//  "DOTA_Tooltip_ability_item_ice_sword_1_Lore"							"The killerpilze hiding under the snow."

// 暗杀名单
"DOTA_Tooltip_ability_item_list_of_assassins"							"Assassination List"
"DOTA_Tooltip_ability_item_list_of_assassins_physical_attack"			"+$physical_attack"
"DOTA_Tooltip_ability_item_list_of_assassins_description"		        "<h1>Assassin</h1> Throws %bonus_count% daggers to the enemy unit with the lowest health, dealing damage as %physical2physical%%% of the carrier's attack damage."

//隐身斗篷
"DOTA_Tooltip_ability_item_invisible_cloak_1"							"Glimmer Cape"
"DOTA_Tooltip_ability_item_invisible_cloak_1_magical_attack"			"+Magical Damage"
"DOTA_Tooltip_ability_item_invisible_cloak_1_description"				"<h1>Glimmer</h1> At the start of each round, grants invisibility and invincibility for good unless all the allied units are slaughtered."

// 图坦卡蒙面具
"DOTA_Tooltip_ability_item_tutankhamun_mask"							"Mask of Tutankhamun"
"DOTA_Tooltip_ability_item_tutankhamun_mask_physical_armor"				"+$physical_armor"
"DOTA_Tooltip_ability_item_tutankhamun_mask_magical_armor"				"+$magical_armor"
"DOTA_Tooltip_ability_item_tutankhamun_mask_description"				"<h1>Curse of the Pharaohs</h1> Curse all the enemy units that ever dealt damage to the carrier. Whenever the carrier casts a spell, he deals physical damage as %physical2physical%%% of his attack damage to all the units under his curse."
// "DOTA_Tooltip_ability_item_tutankhamun_mask_Lore"						"Whoever wakened the evil Pharaoh brought a devastating disaster to the world."

//猛兽犄角
 "DOTA_Tooltip_ability_item_beast_horns_1"						        "Beast Horn"
 "DOTA_Tooltip_ability_item_beast_horns_1_description"			        "<h1>Desperate</h1> Goes into a frenzy when the carrier's health reaches %health_pct%%%, ignoring all the incoming physical damage for %time_duration% seconds."
//  "DOTA_Tooltip_ability_item_beast_horns_1_Lore"					        "When the luster of the gems on the ring dimmed, Belle finally realized her love for beasts."
 "DOTA_Tooltip_ability_item_beast_horns_1_magical_armor"				"+$magical_armor"
 "DOTA_Tooltip_ability_item_beast_horns_1_physical_armor"				"+$physical_armor"
 "DOTA_Tooltip_modifier_beast_horns_magical_immune"						"Desperate"
 "DOTA_Tooltip_modifier_beast_horns_magical_immune_Description"		    "Invincible to physical damage."

//玲珑心
"DOTA_Tooltip_ability_item_octarine_core_1"								"Octarine Core"
"DOTA_Tooltip_ability_item_octarine_core_1_description"					"<h1>CD Reduction</h1>Reduces the cooldown time of all spells and items by %cooldown_reduction%%%."
// "DOTA_Tooltip_ability_item_octarine_core_1_Lore"						"All good, all good."
"DOTA_Tooltip_ability_item_octarine_core_1_mana_regen_percentage"		"%+$mana_regen"
"DOTA_Tooltip_ability_item_octarine_core_1_status_mana"					"+$status_mana"

//智慧战旗
 "DOTA_Tooltip_ability_item_banner_of_warrior_1"						"War Flag of Wisdom"
 "DOTA_Tooltip_ability_item_banner_of_warrior_1_mana_regen"			  "+$mana_regen"
 "DOTA_Tooltip_ability_item_banner_of_warrior_1_description"			"<h1>'Calculated'</h1> When there is no allied units within a radius of %range% units, the carrier gains %magical_attack_bonus% bonus magical damage per second. Stacks up to %stack_count% layers."
//  "DOTA_Tooltip_ability_item_banner_of_warrior_1_Lore"					"He is the best flanker on the battlefield, apart from the fact that he is hated by both allies and enemies."
 "DOTA_Tooltip_modifier_item_banner_of_warrior_1"						"War Flag of Wisdom"
 "DOTA_Tooltip_modifier_item_banner_of_warrior_1_Description" 			"+%dMODIFIER_PROPERTY_TOOLTIP2% Magical Damage"


//雷霆锤
 "DOTA_Tooltip_ability_item_thunder_hammer_1"							"Mjollnir"
 "DOTA_Tooltip_ability_item_thunder_hammer_1_magical_damage"			"+Magical Damage"
 "DOTA_Tooltip_ability_item_thunder_hammer_1_description"				"<h1>Enchant</h1> Grants each attack a %chance%%% chance to release a bolt of electricity that leaps between nearby targets, dealing magical damage as %magic_damage_extra% of attack damage."
//  "DOTA_Tooltip_ability_item_thunder_hammer_1_Lore"						"Thor's magical hammer, made for him by the dwarves Brok and Eitri."
 "DOTA_Tooltip_ability_item_thunder_hammer_1_magical_attack"			"+$magical_attack"

// 玛雅神盾
"DOTA_Tooltip_ability_item_maya_shield_1"								"Shield of Maya"
"DOTA_Tooltip_ability_item_maya_shield_1_health_regen"					"+$health_regen"
"DOTA_Tooltip_ability_item_maya_shield_1_block"					        "+Damage Block"
"DOTA_Tooltip_ability_item_maya_shield_1_description"					"<h1>Mystery of Maya</h1>Automatically activate a Magic shield every %interval% seconds. The magic shield can absorb all the incoming damage for %duration% seconds."
"DOTA_Tooltip_modifier_item_maya_shield_1_buff"					"Shield of Maya"
"DOTA_Tooltip_modifier_item_maya_shield_1_buff_description"					"Avoid all damage"
// "DOTA_Tooltip_ability_item_maya_shield_1_Lore"							"You fear me? So you should. All you who are vile. Would you like to know how you will die? The sacred time is near."

//异次元之壁
 "DOTA_Tooltip_ability_item_heterodimensionality_1"						"Barrier of Demensions"
 "DOTA_Tooltip_ability_item_heterodimensionality_1_mana_regen"			"+$mana_regen"
 "DOTA_Tooltip_ability_item_heterodimensionality_1_description"			"<h1>Collapse</h1>Whenever the carrier casts a spell, enemy units within %range% units radis will take magical damage as %health_reduce_pct%%% of its health.\n<h1>Dimension Traveler</h1> Whenever the carrier casts a spell, heals him by %health_recover_pct%%% of his Max HP if hes current health is lower than %health_self_pct%%%."
 "DOTA_Tooltip_modifier_item_heterodimensionality_1"					"Dimension Traveler"
 "DOTA_Tooltip_modifier_item_heterodimensionality_1_Description"		"Will be healed by %dMODIFIER_PROPERTY_TOOLTIP2%%% of Max HP."
 "DOTA_Tooltip_modifier_heterodimensionality_buff"					    "Barrier of Demensions"
 "DOTA_Tooltip_modifier_heterodimensionality_buff_Description"		    "take damage by caster magic"


//圣灯
"DOTA_Tooltip_ability_item_panic_button_1"								"Sacred Lamp"
"DOTA_Tooltip_ability_item_panic_button_1_description"					"<h1>Sacred Radiance</h1> Increases the magical damage taken by nearby enemies by %incoming_per%%%."
"DOTA_Tooltip_ability_item_panic_button_1_Lore"							"Equip by dragging the item to a hero. Click the icon to open the shop."
"DOTA_Tooltip_ability_item_panic_button_1_physical_armor_pct"			"%+$physical_armor_pct"
"DOTA_Tooltip_ability_item_panic_button_1_magical_armor_pct"			"%+$magical_armor_pct"
"DOTA_Tooltip_modifier_item_panic_button_1"							 	"Sacred Radiance"
"DOTA_Tooltip_modifier_item_panic_button_1_Description" 				"Reduces the damage taken by nearby allies by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_modifier_item_panic_button_debuff"						"Sacred Radiance"
"DOTA_Tooltip_modifier_item_panic_button_debuff_Description" 			"Damage taken is reduced by %dMODIFIER_PROPERTY_TOOLTIP%%%."


//圣剑
"DOTA_Tooltip_ability_item_rapier_1"									"Divine Rapier"
"DOTA_Tooltip_ability_item_rapier_1_description"						"<h1>Divine Radiance</h1> Increases the Physical Damage taken by enemies within %range% units radius by %damage_per%%%."
"DOTA_Tooltip_ability_item_rapier_1_Lore"								"So powerful, it cannot have a single owner."
"DOTA_Tooltip_ability_item_rapier_1_physical_attack_pct"				"%+$physical_attack_pct"
"DOTA_Tooltip_ability_item_rapier_1_magical_attack_pct"					"%+$magical_attack_pct"
"DOTA_Tooltip_modifier_item_rapier_1"							 		"Divine Radiance"
"DOTA_Tooltip_modifier_item_rapier_1_Description"					   "Increases the damage taken by nearby enemies by %dMODIFIER_PROPERTY_TOOLTIP%%%."
"DOTA_Tooltip_modifier_item_rapier_debuff"								"Divine Radiance"
"DOTA_Tooltip_modifier_item_rapier_debuff_Description" 					"Damage taken is increased by %dMODIFIER_PROPERTY_TOOLTIP%%%."

// ----------------------------------------------------
// ----------------------------------------------------
//  橙色

// 灭世枪
"DOTA_Tooltip_ability_item_gante_sword"									"Gungnir"
"DOTA_Tooltip_ability_item_gante_sword_physical_attack"				 "+$physical_attack"
"DOTA_Tooltip_ability_item_gante_sword_description"						"<h1>Gungre</h1>While attacking, the carrier has a %chance%%% chance to enter the Gungnir's zone for %duration% seconds. Increases the carrier's physical damage by %attack_bonus_pct%%%, attack speed by %attack_speed_bonus%%%\n<h1>Power of Odin</h1>Each attack will reduce his targets' armor by %armor_reduce_pct%%% (0.5% of Boss Units)."
"DOTA_Tooltip_modifier_item_gante_sword_buff"						    "Gungnir"
"DOTA_Tooltip_modifier_item_gante_sword_buff_Description"				"Increase %dMODIFIER_PROPERTY_TOOLTIP%%% attack and %dMODIFIER_PROPERTY_TOOLTIP%%% speed"
"DOTA_Tooltip_modifier_item_gante_sword_armor_reduce_buff"				"Gungnir"
"DOTA_Tooltip_modifier_item_gante_sword_armor_reduce_buff_Description"	"Physical armor decrease %dMODIFIER_PROPERTY_TOOLTIP%"

// 勇气勋章
"DOTA_Tooltip_ability_item_courage_medallion"							"Medallion of Courage"
"DOTA_Tooltip_ability_item_courage_medallion_physical_armor"			"+$physical_armor"
"DOTA_Tooltip_ability_item_courage_medallion_status_health"			    "+$status_health"
"DOTA_Tooltip_ability_item_courage_medallion_description"				"<h1>Valorant</h1> Will be activated by the start of each round, boosting the carrier's movement speed by %movespeed%, Physical Damage by %attack_pct%%% and Armor by %armor_pct%%%. The power brought by courage decreases over time. Lasts %duration% seconds.\n<h1>Bloody Courage</h1> Whenever the carrier kills an enemy or witness a death of his ally, reset Valorant."
"DOTA_Tooltip_modifier_item_courage_medallion_buff"						"Medallion of Courage"
"DOTA_Tooltip_modifier_item_courage_medallion_buff_Description"			"increase %dMODIFIER_PROPERTY_TOOLTIP% movespeed <br>increase %dMODIFIER_PROPERTY_TOOLTIP%%% physical attack<br>increase %dMODIFIER_PROPERTY_TOOLTIP%%% physical armor"

// 圣法书
"DOTA_Tooltip_ability_item_famous_wand"									"Code of Hammurabi"
"DOTA_Tooltip_ability_item_famous_wand_magical_attack"                  "+$magical_attack"
"DOTA_Tooltip_ability_item_famous_wand_description"						"<h1>Unbreakable Code</h1> +%magical_outgoing%%% Magical Damage\n<h1>Spell Lifesteal</h1>+%magical_helf%%%Spell Lifesteal"

// 米斯特汀
"DOTA_Tooltip_ability_item_mystletainn"									"Mystletainn"
"DOTA_Tooltip_ability_item_mystletainn_description"						"<h1>Mistletoe</h1>Must be soaked by blood. The carrier trades %health_absorb%%% health for %attack_per_health% Physical Damage per second. Lasts for %duration% seconds.\n<h1>Power of Þráinn</h1>After draing the carrier's health for %critical_per_attack% seconds, his next attack will deal %critical_mult% times damage."
"DOTA_Tooltip_ability_item_mystletainn_physical_attack_pct"		    	"%+$physical_attack_pct"
//"DOTA_Tooltip_ability_item_mystletainn_attack_helf"		    	        "%+$attack_helf"
"DOTA_Tooltip_modifier_item_mystletainn"							    "Mystletainn"
"DOTA_Tooltip_modifier_item_mystletainn_description"				    "Increase %dMODIFIER_PROPERTY_TOOLTIP% attack every seconds"
"DOTA_Tooltip_modifier_item_mystletainn_buff"							"Mystletainn"
"DOTA_Tooltip_modifier_item_mystletainn_buff_description"				"Gradually lose health but gains power."

//漫射宝石
 "DOTA_Tooltip_ability_item_divergent_gem_1"							"Gem Prism"
 "DOTA_Tooltip_ability_item_divergent_gem_1_status_health"				"+$status_health"
 "DOTA_Tooltip_ability_item_divergent_gem_1_description"				"<h1>Magic Immune</h1> Grants Spell Immunity, taking %physical_damage_punishment_pct%%% bonus Physical Damage\n<h1>Gem Splendor</h1> Returns %magical_rebound_pct%%% of Physical Damage taken back to enemies within %range% units radius."
//  "DOTA_Tooltip_ability_item_divergent_gem_1_Lore"						"Even the slightest flaw in the components of the Gem Prism can result in the death of its user."
 "DOTA_Tooltip_modifier_item_divergent_gem_1"							"Gem Splendor"
 "DOTA_Tooltip_modifier_item_divergent_gem_1_Description" 				"Returns %dMODIFIER_PROPERTY_TOOLTIP2%%% of Physical Damage taken back to nearby %dMODIFIER_PROPERTY_TOOLTIP% enemies."

//幻影斧
 "DOTA_Tooltip_ability_item_mantas_1"									"Manta Style"
 "DOTA_Tooltip_ability_item_mantas_1_physical_attack"                   "+$physical_attack"
 "DOTA_Tooltip_ability_item_mantas_1_magical_attack"                    "+$magical_attack"
 "DOTA_Tooltip_ability_item_mantas_1_description"						"<h1>Mirror Image</h1> Creates %illusion_count% images of the carrier. The images inherite %attribute_have_pct%%% of his attributes and last for %time_duration% seconds."
 "DOTA_Tooltip_ability_item_mantas_1_Lore"							    "An axe made of reflective materials that causes confusion amongst enemy ranks."

// 撒旦之邪力
"DOTA_Tooltip_ability_item_satan_power"									"Satanic"
"DOTA_Tooltip_ability_item_satan_power_status_health"					"+$status_health"
"DOTA_Tooltip_ability_item_satan_power_description"						"<h1>Unholy Rage</h1> Increases the carrier's damage randomely that up to %max_damage%%%. Minimum bonus damage is %min_damage%%%.\n<h1>Satan's Dominance</h1>Absorb attack from allies %absorb_pct%%%"
"DOTA_Tooltip_modifier_item_satan_power_debuff"                         "Satanic"
"DOTA_Tooltip_modifier_item_satan_power_debuff_description"             "Beging controled by Satanic, every lose strength will lose 1% damage"
"DOTA_Tooltip_modifier_item_satan_power"								"Satanic"
"DOTA_Tooltip_modifier_item_satan_power_description"					"Satanic, 1 strength provide 1% damage"
"DOTA_Tooltip_modifier_item_satan_power_buff"							"Satanic Power"
"DOTA_Tooltip_modifier_item_satan_power_buff_description"				"Use Satanic power suck strength from allies, every lost strength provide 1% attack which same as owners damage type"

//阿努比斯的使者
"DOTA_Tooltip_ability_item_messenger_of_anubis_1"						"Message from Anubis"
"DOTA_Tooltip_ability_item_messenger_of_anubis_1_physical_attack"       "+$physical_attack"
"DOTA_Tooltip_ability_item_messenger_of_anubis_1_magical_attack"        "+$magical_attack"
"DOTA_Tooltip_ability_item_messenger_of_anubis_1_description"			"<h1>Soul Usher</h1> Whenever the carrier is killed, it ushers the his soul into the afterlife. The embalmed soul will split into %illusion_count% images that each inherits %illusion_outgoing_damage%%% of his lifetime attributes."
//  "DOTA_Tooltip_ability_item_messenger_of_anubis_1_Lore"				"Out of chaos came the light. Out of the will came life."


//弩炮
"DOTA_Tooltip_ability_item_ballista_1"									"Ballista"
"DOTA_Tooltip_ability_item_ballista_1_description"						"<h1>Multishot</h1>After %attack_count% attacks, the carrier releases a wave of shots to all the enemies within %aoe_range% units radius."
// "DOTA_Tooltip_ability_item_ballista_1_Lore"							"The higher you stand, the farther your arrows reach."
"DOTA_Tooltip_ability_item_ballista_1_attack_speed_percentage"			"%+$attack_speed"
"DOTA_Tooltip_ability_item_ballista_1_attack_range_of_range"			"+$attack_range_of_range"

 // 幻境魔方
"DOTA_Tooltip_ability_item_magic_cube"									"Illusion Rubik"
"DOTA_Tooltip_ability_item_magic_cube_magical_attack"					"+$magical_attack"
"DOTA_Tooltip_ability_item_magic_cube_description"						"<h1>Illusion Rubik</h1> Whenever the carrier casts a spell, summons %cube_count% Rubiks that smashes into nearby enemies, dealing %magical2magical%%% Magical Damage and stunning for %stun_duration% seconds."
// "DOTA_Tooltip_ability_item_magic_cube_Lore"							"大多数法师认为魔方谜题仅仅是个宝贝"

 //双击法杖
"DOTA_Tooltip_ability_item_doubleclick_wand_1"							"Cane Gun"
"DOTA_Tooltip_ability_item_doubleclick_wand_1_attack_speed"				"+$attack_speed"
"DOTA_Tooltip_ability_item_doubleclick_wand_1_magical_attack"			"+$magical_attack"
"DOTA_Tooltip_ability_item_doubleclick_wand_1_description"				"<h1>Multicast</h1> Grants the carrier the ability to shot a bullet with his attacks in %chance%%% chance, dealing Magical Damage as %damage_factor%%% of his Magical Damage and stunning the target for %stun_time% seconds."
// "DOTA_Tooltip_ability_item_doubleclick_wand_1_Lore"					"这里是导弹工厂~"

// 朗基努斯之枪
"DOTA_Tooltip_ability_item_longinus"									"Spear of Longinus"
"DOTA_Tooltip_ability_item_longinus_magical_attack"                     "+$magical_attack"
"DOTA_Tooltip_ability_item_longinus_description"						"<h1>Spear of Purity</h1> After %attack_count% attacks, the next attack deals bonus Pure damage as %magical2magical%%% of the carrier's Magical Damage.\n<h1>Absolute Terror Field</h1>Expands a shield that absorbs damage as %shield_health%%% of carrier's Magical Damage every %interval% seconds."
// "DOTA_Tooltip_ability_item_longinus_Lore"							"穿透神圣不可侵犯的结界"

//流行蝴蝶剑
 "DOTA_Tooltip_ability_item_metor_butterfly_sword_1"							"Gram"
 "DOTA_Tooltip_ability_item_metor_butterfly_sword_1_attack_speed_percentage"	"%+$attack_speed_percentage"
 "DOTA_Tooltip_ability_item_metor_butterfly_sword_1_description"				"<h1>Star fall</h1> Grants each attack a %chance%%% chance cast %metor_count% metors, damage was based on %metor_damage_bonus% personal attribute "


//时间沙漏
