"DOTA_Tooltip_modifier_star_indicator" 		"星级"
"DOTA_Tooltip_ability_ogre_magi_2" "强词夺理"
"DOTA_Tooltip_ability_ogre_magi_2_Description" "食人魔魔法师的下几次普通攻击会固定使用同一种类型。"
"DOTA_Tooltip_ability_ogre_magi_2_attack_count" "攻击次数："
"DOTA_Tooltip_ability_ogre_magi_2_Lore" "- 谁声音大谁就有理！"
"DOTA_Tooltip_modifier_ogre_magi_2_buff"						"强词夺理"
"DOTA_Tooltip_modifier_ogre_magi_2_buff_Description"			"下%dMODIFIER_PROPERTY_TOOLTIP%次攻击会使用同种类型"
"DOTA_Tooltip_ability_ogre_magi_3" "吵闹"
"DOTA_Tooltip_ability_ogre_magi_3_Description" "食人魔魔法师通过吵架决定谁说了算，友方获得物理攻击或者法术攻击提升。吵架赢的一方获得额外提升，攻击力越高赢的概率就越大。"
"DOTA_Tooltip_ability_ogre_magi_3_bonus_physical_attack" "%基础物理攻击提升：物理攻击力*"
"DOTA_Tooltip_ability_ogre_magi_3_extra_bonus_physical_attack" "%吵赢额外物理攻击提升：物理攻击力*"
"DOTA_Tooltip_ability_ogre_magi_3_bonus_magical_attack" "%基础魔法攻击提升：魔法攻击力*"
"DOTA_Tooltip_ability_ogre_magi_3_extra_bonus_magical_attack" "%吵赢额外魔法攻击提升：魔法攻击力*"
"DOTA_Tooltip_modifier_ogre_magi_3_buff" "吵闹"
"DOTA_Tooltip_modifier_ogre_magi_3_buff_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP%%% 物理攻击力（%dMODIFIER_PROPERTY_TOOLTIP%）<br>+ %dMODIFIER_PROPERTY_TOOLTIP%%% 魔法攻击力（%dMODIFIER_PROPERTY_TOOLTIP%）"

//食人魔棒槌手
"DOTA_Tooltip_ability_ogre_med_1" "巨棒打击"
"DOTA_Tooltip_ability_ogre_med_1_Description" "食人魔棒槌手挥舞巨棒，伤害敌人并造成晕眩，随后食人魔棒槌手获得额外攻速。"
"DOTA_Tooltip_ability_ogre_med_1_distance" "最大挥舞距离："
"DOTA_Tooltip_ability_ogre_med_1_bonus_attackspeed" "攻速提升："
"DOTA_Tooltip_ability_ogre_med_1_stun_duration" "晕眩时间："
"DOTA_Tooltip_ability_ogre_med_1_abilityduration" "额外攻速持续时间："
"DOTA_Tooltip_ability_ogre_med_1_physical2physical" "%技能伤害：物理攻击*"
"DOTA_Tooltip_ability_ogre_med_1_health_damage_pct"	"%额外伤害：已损失生命值*"
//"DOTA_Tooltip_ability_ogre_med_1_hp_per_amplify_per" "%每损失生命百分比效果增加："
"DOTA_Tooltip_modifier_ogre_med_1_buff"                 "巨棒打击"
"DOTA_Tooltip_modifier_ogre_med_1_buff_Description"     "攻速提升"
"DOTA_Tooltip_ability_ogre_med_2" "巨棒"
"DOTA_Tooltip_ability_ogre_med_2_Description" "食人魔棒槌手每次攻击有概率眩晕敌人，造成额外的物理伤害。"
"DOTA_Tooltip_ability_ogre_med_2_chance" "%晕眩概率："
"DOTA_Tooltip_ability_ogre_med_2_stun_duration" "晕眩时间："
"DOTA_Tooltip_ability_ogre_med_2_physical2physical" "%额外伤害：物理攻击*"
"DOTA_Tooltip_ability_ogre_med_3" "嗜血巨棒"
"DOTA_Tooltip_ability_ogre_med_3_Description" "食人魔棒槌手击晕敌人后获得短暂的额外攻击力，最多叠加 %max_stack% 层。"
"DOTA_Tooltip_ability_ogre_med_3_bonus_damage_pct" "%额外攻击力：物理攻击*"
"DOTA_Tooltip_ability_ogre_med_3_abilityduration" "额外攻击力持续时间："
"DOTA_Tooltip_modifier_ogre_med_3" "嗜血巨棒之力"
"DOTA_Tooltip_modifier_ogre_med_3_Description" "+ %dMODIFIER_PROPERTY_TOOLTIP%%% 物理攻击力（%dMODIFIER_PROPERTY_TOOLTIP%）"

//风暴之灵
"DOTA_Tooltip_ability_storm_spirit_1" "雷电之力"
"DOTA_Tooltip_ability_storm_spirit_1_Description" "攻击使敌人通电，通电的敌人会给雷暴之灵提供电力和魔法恢复。每%max_stack%层电力获得超负荷效果，下次攻击将造成范围伤害。\n <h1>通电</h1>施加通电时、敌人施法时和通电期间每%interval%秒为雷暴之灵提供%stack_count%点电力并回复%mana_regen%点魔法，并且降低敌人攻速%slow_attack_speed_pct%%%。"
"DOTA_Tooltip_ability_storm_spirit_1_magical2magical"		"%超负荷伤害：魔法攻击*"
"DOTA_Tooltip_ability_storm_spirit_1_radius" 				"超负荷作用范围："
"DOTA_Tooltip_ability_storm_spirit_1_abilityduration" "通电持续时间："
"DOTA_Tooltip_modifier_storm_spirit_1"						"雷电之力"
"DOTA_Tooltip_modifier_storm_spirit_1_Description"			"当前电力"
"DOTA_Tooltip_modifier_storm_spirit_1_buff"					"超负荷"
"DOTA_Tooltip_modifier_storm_spirit_1_buff_Description"		"攻击造成范围伤害"
"DOTA_Tooltip_modifier_storm_spirit_1_debuff"				"雷电之力"
"DOTA_Tooltip_modifier_storm_spirit_1_debuff_Description"	"攻速降低%dMODIFIER_PROPERTY_TOOLTIP%%%，并为雷暴之灵提供电力"
"DOTA_Tooltip_ability_storm_spirit_2" "电力链接"
"DOTA_Tooltip_ability_storm_spirit_2_Description" "雷暴之灵化身雷暴飞向敌人，攻击路径上碰触到敌人并附带额外伤害。"
"DOTA_Tooltip_ability_storm_spirit_2_damage_pct" "%额外伤害：魔法攻击*"
"DOTA_Tooltip_ability_storm_spirit_2_radius" "作用范围："
"DOTA_Tooltip_ability_storm_spirit_2_Lore" "- 电力链接会选择最远的敌人作为飞行目标"
"DOTA_Tooltip_ability_storm_spirit_3" "电灵"
"DOTA_Tooltip_ability_storm_spirit_3_Description" "雷暴之灵获得攻击速度百分比和最大攻击速度提升，并且攻击有%chance%%%概率在目标位置出现一个延迟爆炸的电灵。"
"DOTA_Tooltip_ability_storm_spirit_3_attack_speed_percentage" "%攻击速度提升："
"DOTA_Tooltip_ability_storm_spirit_3_max_attack_speed" "最大攻击速度提升："
"DOTA_Tooltip_ability_storm_spirit_3_magical2magical" "%电灵伤害：魔法攻击*"
"DOTA_Tooltip_ability_storm_spirit_3_radius" "电灵爆炸范围："

//大地之灵
"DOTA_Tooltip_ability_earth_spirit_1" "回滚"
"DOTA_Tooltip_ability_earth_spirit_1_Description" 		"大地之灵向前翻滚撞向敌人，造成伤害和眩晕，同时根据击中的敌人数量提升自身的双防。该防御持续整个回合，并且可以叠加"
"DOTA_Tooltip_ability_earth_spirit_1_damage" 			"%翻滚伤害：物理攻击*"
"DOTA_Tooltip_ability_earth_spirit_1_stun_duration" 	"晕眩时间："
"DOTA_Tooltip_ability_earth_spirit_1_armor_increase" 	"双防提升：击中敌人数*"
"DOTA_Tooltip_ability_earth_spirit_1_Lore" 	"- 对路径上的敌人会造成1倍攻击的伤害"
"DOTA_Tooltip_modifier_earth_spirit_1_armorincrease_buff" 			"回滚"
"DOTA_Tooltip_modifier_earth_spirit_1_armorincrease_buff_Description" 			"获得双防提升"
"DOTA_Tooltip_ability_earth_spirit_2" "地震波"
"DOTA_Tooltip_ability_earth_spirit_2_Description" 		"大地之灵爆发一次强大的震波，对敌人造成伤害和移速降低，同时大地之灵获得减伤效果。"
"DOTA_Tooltip_ability_earth_spirit_2_damage_pct"		"%地震伤害：双防总和*"
"DOTA_Tooltip_ability_earth_spirit_2_movespeed_reduce"	"%移动速度降低："
"DOTA_Tooltip_ability_earth_spirit_2_radius"			"作用范围："
"DOTA_Tooltip_ability_earth_spirit_2_IncomingDamageReducepct"			"%伤害减少："
"DOTA_Tooltip_ability_earth_spirit_2_duration"			"持续时间："
"DOTA_Tooltip_modifier_earth_spirit_2_selfbuff"			"地震波"
"DOTA_Tooltip_modifier_earth_spirit_2_selfbuff_Description"			"受到伤害减少"
"DOTA_Tooltip_modifier_earth_spirit_2_buff"				"地震波"
"DOTA_Tooltip_modifier_earth_spirit_2_buff_Description"	"移动速度降低"
"DOTA_Tooltip_ability_earth_spirit_3" 					"地灵"
"DOTA_Tooltip_modifier_earth_spirit_3" 					"地灵"
"DOTA_Tooltip_modifier_earth_spirit_3_Description" 		"释放会模仿本体技能的地灵"
"DOTA_Tooltip_modifier_earth_spirit_3_buff"						"地灵"
"DOTA_Tooltip_modifier_earth_spirit_3_buff_Description"			"获得物理攻击和双防提升"
"DOTA_Tooltip_ability_earth_spirit_3_Description" 		"踢出一个地灵，对敌人造成伤害和眩晕。地灵会模仿本体技能，并提供物理攻击和双防提升。"
"DOTA_Tooltip_ability_earth_spirit_3_physical2physical" "%踢击伤害：物理攻击*"
"DOTA_Tooltip_ability_earth_spirit_3_distance" 			"踢击距离："
"DOTA_Tooltip_ability_earth_spirit_3_duration" 			"地灵持续时间："
"DOTA_Tooltip_ability_earth_spirit_3_clone_damage_pct" 	"%地灵技能伤害：本体伤害*"
"DOTA_Tooltip_ability_earth_spirit_3_attack_per_enemy" 	"%物理攻击提升：击中敌人数*"
"DOTA_Tooltip_ability_earth_spirit_3_armor_per_enemy" 	"%双防提升：击中敌人数*"


//熔烬之灵
"DOTA_Tooltip_ability_ember_spirit_1" 					"幻影斩"
"DOTA_Tooltip_ability_ember_spirit_1_Description" 		"熔烬之灵以燎原之火的速度攻击范围内的所有敌人，造成额外伤害后返回起始位置。"
"DOTA_Tooltip_ability_ember_spirit_1_bonus_damage" 		"%额外攻击伤害：物理攻击力*"
"DOTA_Tooltip_ability_ember_spirit_1_radius" 			"幻影斩范围："
"DOTA_Tooltip_ability_ember_spirit_1_attack_interval" 	"幻影斩攻击间隔："
"DOTA_Tooltip_ability_ember_spirit_2" 					"烈火罩"
"DOTA_Tooltip_ability_ember_spirit_2_Description"		"用烈火包裹所有友军，抵挡魔法伤害并对周围敌人造成持续伤害和燃烧层数。\n<h1>燃烧</h1>每层燃烧每秒造成30点魔法伤害，叠加刷新持续时间"
"DOTA_Tooltip_ability_ember_spirit_2_absorb_damage"		"%魔法伤害抵挡：物理攻击力*"
"DOTA_Tooltip_ability_ember_spirit_2_radius"			"烈火伤害范围："
"DOTA_Tooltip_ability_ember_spirit_2_physical2magical"	"%烈火伤害：物理攻击*"
"DOTA_Tooltip_ability_ember_spirit_2_abilityduration"	"烈火罩持续时间："
"DOTA_Tooltip_ability_ember_spirit_2_ignite_duration"	"燃烧持续时间："
"DOTA_Tooltip_ability_ember_spirit_2_ignite_count"	    "每秒燃烧层数："
"DOTA_Tooltip_modifier_ember_spirit_2_buff" 			"烈火罩"
"DOTA_Tooltip_modifier_ember_spirit_2_buff_Description" "抵挡%dMODIFIER_PROPERTY_TOOLTIP%点魔法伤害并对周围敌人造成持续伤害。"
"DOTA_Tooltip_ability_ember_spirit_3" 					"火灵"
"DOTA_Tooltip_ability_ember_spirit_3_Description" 		"幻影斩有概率在敌人身边生成火灵。火灵攻击敌人造成魔法伤害，一定时间后爆炸造成范围伤害。"
"DOTA_Tooltip_ability_ember_spirit_3_chance" 			"%生成火灵概率："
"DOTA_Tooltip_ability_ember_spirit_3_damage_pct" 		"%火灵攻击：物理攻击*"
"DOTA_Tooltip_ability_ember_spirit_3_count" 			"最大存在数量："
"DOTA_Tooltip_ability_ember_spirit_3_abilityduration"	"火灵持续时间："
"DOTA_Tooltip_ability_ember_spirit_3_physical2magical" 	"%爆炸伤害：物理攻击*"

//风影王族
// "DOTA_Tooltip_ability_skywrath_mage_1" "变猪"
// "DOTA_Tooltip_ability_skywrath_mage_1_Description" "对目标释放一个法术，对目标及周围400码范围内的敌人变成猪。并施加增伤，猪受到的20/40/60/80/100%更多的伤害。"
// "DOTA_Tooltip_ability_skywrath_mage_2" "天空统帅"
// "DOTA_Tooltip_ability_skywrath_mage_2_Description" "全场所有空中友方英雄造成伤害提高10/20/30/40/50%，敌方空中单位造成伤害减少10/20/30/40/50%。"
// "DOTA_Tooltip_ability_skywrath_mage_3" "风之盾"
// "DOTA_Tooltip_ability_skywrath_mage_3_Description" "周身缠绕风，物理抗性提高20/40/60/80/100%，闪避率提高到20/40/60/80/100%。"

//雷肤兽
"DOTA_Tooltip_ability_thunder_lizard_1" "静电之触"
"DOTA_Tooltip_ability_thunder_lizard_1_Description" "雷肤兽对周围单位造成魔法伤害，并降低其魔法防御。该效果可以叠加。"
"DOTA_Tooltip_ability_thunder_lizard_1_radius" "作用范围："
"DOTA_Tooltip_ability_thunder_lizard_1_armor_reduce" "每次魔法护甲降低："
"DOTA_Tooltip_ability_thunder_lizard_1_physical2magical" "%伤害：物理攻击*"
"DOTA_Tooltip_modifier_thunder_lizard_1_debuff"             "雷肤兽-静电之触：魔法护甲降低"
"DOTA_Tooltip_modifier_thunder_lizard_1_debuff_Description" "魔法护甲降低%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_ability_thunder_lizard_2" "太古神力"
"DOTA_Tooltip_ability_thunder_lizard_2_Description" "发动召唤太古之神的力量，召唤雷兽群冲锋践踏敌人，被撞击的单位会被击退并减速。"
"DOTA_Tooltip_ability_thunder_lizard_2_physical2physical" 	"%伤害：物理攻击*"
"DOTA_Tooltip_ability_thunder_lizard_2_pull_distance" 	"击退距离："
"DOTA_Tooltip_ability_thunder_lizard_2_slow_duration" 		"减速时间："
"DOTA_Tooltip_ability_thunder_lizard_2_slow_pct" 			"%移速降低："
"DOTA_Tooltip_modifier_thunder_lizard_2_slow"               "太古神力"
"DOTA_Tooltip_modifier_thunder_lizard_2_slow_Description"   "受到太古神力的作用，移速降低"
"DOTA_Tooltip_ability_thunder_lizard_3" "抗性皮肤"
"DOTA_Tooltip_ability_thunder_lizard_3_Description" "雷肤兽拥有额外的的防御，静电之触还会同时削弱目标的物理防御。"
"DOTA_Tooltip_ability_thunder_lizard_3_physical_armor_reduce" "每次物理防御降低："
"DOTA_Tooltip_ability_thunder_lizard_3_armor_bonus_pct" "%额外双防："
"DOTA_Tooltip_modifier_thunder_lizard_3_debuff"             "雷肤兽-静电之触：物防降低"
"DOTA_Tooltip_modifier_thunder_lizard_3_debuff_Description" "物理护甲降低%dMODIFIER_PROPERTY_TOOLTIP%"

//仙女龙
"DOTA_Tooltip_ability_puck_1" "千里追魔球"
"DOTA_Tooltip_ability_puck_1_Description" "产生一个追魔球。当追魔球达到最大数量时会自动飞出，攻击法力值最多的敌人。"
"DOTA_Tooltip_ability_puck_1_max_count" "最大数量："
"DOTA_Tooltip_ability_puck_1_magical2magical" "%基础伤害：魔法攻击*"
"DOTA_Tooltip_ability_puck_1_damage_target_current_mana_pct" "%额外伤害1：敌人当前法力值*"
"DOTA_Tooltip_ability_puck_1_damage_maximum_caster_mana_pct" "%额外伤害2：最大法力值*"
"DOTA_Tooltip_ability_puck_1_Lore" "- 附近有单位施法时，仙女龙自动获得一个追魔球"
"DOTA_Tooltip_modifier_puck_1" "千里追魔球"
"DOTA_Tooltip_modifier_puck_1_Description" "飞出造成基于魔法攻击和法力值的伤害"
"DOTA_Tooltip_ability_puck_2" "法力汹涌"
"DOTA_Tooltip_ability_puck_2_Description" "所有友方获得最大法力值提升，仙女龙从该被动获得双倍提升，并且每次追魔球命中会偷取敌人的法力值。"
"DOTA_Tooltip_ability_puck_2_bonus_maximum_mana" 	"最大法力值提升："
"DOTA_Tooltip_ability_puck_2_hit_absorb_mana" 		"偷取法力值："
"DOTA_Tooltip_modifier_puck_2_buff"						"法力汹涌"
"DOTA_Tooltip_modifier_puck_2_buff_Description"			"最大法力值提升%dMODIFIER_PROPERTY_TOOLTIP%"
"DOTA_Tooltip_ability_puck_3" "精灵闪烁"
"DOTA_Tooltip_ability_puck_3_Description" "仙女龙受到攻击时会随机传送，出现位置处的敌人受到伤害并被沉默，友方回复法力值。"
"DOTA_Tooltip_ability_puck_3_damage_radius" 			"作用范围："
"DOTA_Tooltip_ability_puck_3_magical2magical" 			"%精灵闪烁伤害：魔法攻击*"
"DOTA_Tooltip_ability_puck_3_silenced_duration" 		"沉默时间："
"DOTA_Tooltip_ability_puck_3_restore_mana" 				"回复法力值："

//潜行者萨满
"DOTA_Tooltip_ability_satyr_spawn_a_1" "重踩大地"
"DOTA_Tooltip_ability_satyr_spawn_a_1_Description" "潜行者萨满重踩地面，对周围敌人造成伤害。"
"DOTA_Tooltip_ability_satyr_spawn_a_1_damage_magical_armor_pct" 		"%重踩伤害：魔法护甲*"
"DOTA_Tooltip_ability_satyr_spawn_a_2" "魔甲术"
"DOTA_Tooltip_ability_satyr_spawn_a_2_Description" "潜行者萨满获得魔法防御提升，将周围友方受到的一定比例伤害转换为魔法伤害并转移给自己。"
"DOTA_Tooltip_ability_satyr_spawn_a_2_magical_armor_bonus_pct" 			"%魔法防御提升：物理攻击*"
"DOTA_Tooltip_ability_satyr_spawn_a_2_take_magic_damage_pct" 			"%吸收伤害："
"DOTA_Tooltip_modifier_satyr_spawn_a_2"						"魔甲术"
"DOTA_Tooltip_modifier_satyr_spawn_a_2_Description"			"获得魔法防御提升"
"DOTA_Tooltip_modifier_satyr_spawn_a_2_share_damage"						"潜行者萨满-魔甲术"
"DOTA_Tooltip_modifier_satyr_spawn_a_2_share_damage_Description"			"受到的伤害会被潜行者萨满分担"
"DOTA_Tooltip_ability_satyr_spawn_a_3" "傀儡术"
"DOTA_Tooltip_ability_satyr_spawn_a_3_Description" "潜行者萨满拥有傀儡核心，死亡后会继续战斗一段时间。"
"DOTA_Tooltip_ability_satyr_spawn_a_3_abilityduration" 	"持续时间："
"DOTA_Tooltip_modifier_satyr_spawn_a_3_buff"						"傀儡术"
"DOTA_Tooltip_modifier_satyr_spawn_a_3_buff_Description"			"死亡后可以继续战斗一段时间"

//花岗岩傀儡
"DOTA_Tooltip_ability_golemA_1" "山崩"
"DOTA_Tooltip_ability_golemA_1_Description" "在目标区域召唤一块巨石阻止敌人通过，造成伤害并使敌人晕眩。"
"DOTA_Tooltip_ability_golemA_1_radius" 								"作用范围："
"DOTA_Tooltip_ability_golemA_1_stun_duration" 						"眩晕时间："
"DOTA_Tooltip_ability_golemA_1_obstacle_duration" 					"障碍物持续时间："
"DOTA_Tooltip_ability_golemA_1_physical2physical"					"%伤害：物理攻击力*"
"DOTA_Tooltip_ability_golemA_2" "长大"
"DOTA_Tooltip_ability_golemA_2_Description" "每当减少一定生命值时，嘲讽周围单位并且自身石化，石化期间大幅度提高自身物理及魔法护甲。石化结束后花岗岩体形变大，提升攻击力和攻击距离。长大3次后攻击还将附带溅射。"
"DOTA_Tooltip_ability_golemA_2_fossil_physical_armor_bonus" 				"石化时额外物理护甲："
"DOTA_Tooltip_ability_golemA_2_fossil_magical_armor_bonus" 				"石化时额外魔法护甲："
"DOTA_Tooltip_ability_golemA_2_attack_bonus_pct" 				"%石化后攻击力提升：基础攻击力*"
"DOTA_Tooltip_ability_golemA_2_buff_duration" 					"石化持续时间："
"DOTA_Tooltip_ability_golemA_2_growup_health_pct" 				"%生命值百分比："
"DOTA_Tooltip_modifier_golemA_2"                                "长大"
"DOTA_Tooltip_modifier_golemA_2_Description"                    "该单位可以长大"
"DOTA_Tooltip_modifier_golemA_2_buff"                           "石化"
"DOTA_Tooltip_modifier_golemA_2_buff_Description"               "大幅度提高自身物理及魔法护甲"
"DOTA_Tooltip_modifier_golemA_2_growup"                         "长大"
"DOTA_Tooltip_modifier_golemA_2_growup_Description"             "获得%dMODIFIER_PROPERTY_TOOLTIP%额外攻击力，降低%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%点攻击速度"
"DOTA_Tooltip_ability_golemA_3" "傀儡"
"DOTA_Tooltip_ability_golemA_3_Description" "死亡时会爆开变为两个小型傀儡。爆炸冲击会对周围敌人造成基于最大生命值的伤害。"
"DOTA_Tooltip_ability_golemA_3_physical2physical" 			"%傀儡继承攻击力:"
"DOTA_Tooltip_ability_golemA_3_health_pct" 			"%傀儡继承生命值:"
"DOTA_Tooltip_ability_golemA_3_boom_radius" 				"爆炸冲击范围："
"DOTA_Tooltip_ability_golemA_3_boom_damage_maxhealth_pct" 	"%爆炸伤害：最大生命值*"
"DOTA_Tooltip_modifier_golemA_3_buff"						"花岗岩崽崽"
"DOTA_Tooltip_modifier_golemA_3_buff_description"			"崽崽继承了黄岗岩爸爸的攻击力，但是不能分裂"
"DOTA_Tooltip_modifier_golemA_3"                                "傀儡"
"DOTA_Tooltip_modifier_golemA_3_Description"                    "死亡后爆炸，并生成两个小型傀儡"

//地狱使者
"DOTA_Tooltip_ability_doomA_1" 							"烈焰之刃"
"DOTA_Tooltip_ability_doomA_1_Description"				"地狱使者攻击对敌人造成眩晕和额外伤害，之后发生炎爆造成范围伤害。"
"DOTA_Tooltip_ability_doomA_1_stun_duration"			"晕眩时间："
"DOTA_Tooltip_ability_doomA_1_self_hp_damage_pct"		"%炎爆额外伤害1：生命上限*"
"DOTA_Tooltip_ability_doomA_1_physical2physical"		"%炎爆额外伤害2：物理攻击*"
"DOTA_Tooltip_ability_doomA_1_radius"					"炎爆范围："
"DOTA_Tooltip_ability_doomA_1_delay"					"炎爆延迟："
"DOTA_Tooltip_ability_doomA_2"							"焦土"
"DOTA_Tooltip_ability_doomA_2_Description"				"焦土提升地狱使者与其召唤物的生命回复和移动速度。敌人在焦土上受到持续伤害和随机喷发的炎柱伤害。"
"DOTA_Tooltip_ability_doomA_2_health_regen_pct"			"%生命回复："
"DOTA_Tooltip_ability_doomA_2_movespeed_pct"			"%移动速度："
"DOTA_Tooltip_ability_doomA_2_earth_damage_factor"		"%焦土每秒伤害：物理攻击*"
"DOTA_Tooltip_ability_doomA_2_radius"					"焦土影响范围："
"DOTA_Tooltip_ability_doomA_2_abilityduration"			"持续时间："
"DOTA_Tooltip_ability_doomA_2_fire_damage_factor"		"%炎柱伤害：物理攻击*"
"DOTA_Tooltip_modifier_doomA_2_buff"					"焦土"
"DOTA_Tooltip_modifier_doomA_2_buff_Description"		"移动速度提升%dMODIFIER_PROPERTY_TOOLTIP%%%，生命回复提升%dMODIFIER_PROPERTY_TOOLTIP%%%"
"DOTA_Tooltip_ability_doomA_3"							"末日"
"DOTA_Tooltip_ability_doomA_3_Description"				"释放末日诅咒，若目标在诅咒下死亡，则召唤一只地狱火，降落时造成伤害和眩晕。\n<h1>末日诅咒</h1>产生持续范围伤害，对非首领单位还附加沉默效果。"
"DOTA_Tooltip_ability_doomA_3_tick_damage_factor"		"%末日伤害：物理攻击*"
"DOTA_Tooltip_ability_doomA_3_tick_radius"				"末日范围："
"DOTA_Tooltip_ability_doomA_3_summon_radius"			"召唤冲击范围："
"DOTA_Tooltip_ability_doomA_3_stun_duration"			"召唤冲击晕眩时间："
"DOTA_Tooltip_ability_doomA_3_summon_damage_factor"		"%召唤冲击伤害：物理攻击*"
"DOTA_Tooltip_ability_doomA_3_attribute_pct"			"%地狱火继承属性："
"DOTA_Tooltip_ability_doomA_3_golem_count"				"地狱火最大数量："
"DOTA_Tooltip_ability_doomA_3_Lore"						"- 末日诅咒必定对全场生命值最低的单位释放"
"DOTA_Tooltip_modifier_doomA_3_debuff"					"末日"
"DOTA_Tooltip_modifier_doomA_3_debuff_Description"		"在末日诅咒下死亡时会召唤地狱火"
"DOTA_Tooltip_modifier_doomA_3_buff"					"末日"
"DOTA_Tooltip_modifier_doomA_3_buff_Description"		"随末日诅咒降临的地狱火"

// 暗影萨满
"DOTA_Tooltip_ability_shadowshaman_1" "尸虫蛊"
"DOTA_Tooltip_ability_shadowshaman_1_Description" "普通攻击会让敌人中蛊，受到持续伤害。每回合对每个单位的第一次攻击还会生成一条蛊虫攻击目标，每条蛊虫都会使目标额外受到一次中蛊伤害，目标死亡后身上的蛊虫会转移至其他目标"
"DOTA_Tooltip_ability_shadowshaman_1_magical2magical" 	    "%每秒中蛊伤害：魔法攻击*"
"DOTA_Tooltip_ability_shadowshaman_1_health_loss" 	        "蛊虫可攻击次数："
"DOTA_Tooltip_modifier_shadowshaman_1_debuff"               "尸虫蛊"
"DOTA_Tooltip_modifier_shadowshaman_1_debuff_Description"   "该单位已中蛊，受到持续伤害"
"DOTA_Tooltip_ability_shadowshaman_2" "暗影毒药"
"DOTA_Tooltip_ability_shadowshaman_2_Description" "向敌人扔出一个暗影毒药瓶，造成持续伤害。"
"DOTA_Tooltip_ability_shadowshaman_2_magic_damage_factor" 	"%基础伤害：魔法攻击*"
//"DOTA_Tooltip_ability_shadowshaman_2_hp_damage_pct" 		"%额外伤害：敌人最大生命值*"
"DOTA_Tooltip_ability_shadowshaman_2_AbilityDuration" 		"持续时间："
"DOTA_Tooltip_ability_shadowshaman_2_Lore" 		            "- 暗影毒药不与普通中毒效果叠加"
"DOTA_Tooltip_modifier_shadowshaman_2_debuff"               "暗影折磨"
"DOTA_Tooltip_modifier_shadowshaman_2_debuff_Description"   "该单位被折磨，受到持续魔法伤害"
"DOTA_Tooltip_ability_shadowshaman_3" "图腾"
"DOTA_Tooltip_ability_shadowshaman_3_Description" 	"暗影萨满或蛊虫对敌人造成伤害时，会回复周围友方的生命值。"
"DOTA_Tooltip_ability_shadowshaman_3_heal_pct" 		"%回复生命值：造成伤害*"
"DOTA_Tooltip_ability_shadowshaman_3_radius" 		"作用范围："


// 幻影武士
"DOTA_Tooltip_ability_huskar_1" "沸血之矛"
"DOTA_Tooltip_ability_huskar_1_Description" "幻影武士牺牲部分生命值将其长矛点燃，攻击对目标范围内的敌方单位造成持续伤害，持续%abilityduration%秒。多次攻击会造成持续伤害叠加。\n幻影武士还会根据自身损失的生命值获得生命恢复加成"
"DOTA_Tooltip_ability_huskar_1_damage_pct" "%每秒灼烧伤害：物理攻击*"
"DOTA_Tooltip_ability_huskar_1_health_cost" "%生命损失：当前生命*"
"DOTA_Tooltip_ability_huskar_1_radius" "作用范围："
"DOTA_Tooltip_ability_huskar_1_maximum_health_regen" "最大生命恢复："
"DOTA_Tooltip_ability_huskar_1_hp_threshold_max" "%最大加成时生命值："
"DOTA_Tooltip_ability_huskar_2" "心炎"
"DOTA_Tooltip_ability_huskar_2_Description" "幻影武士牺牲%hp_deduce%%%生命值将附近敌人击退至%radius%范围并召唤满血幻象一起战斗，幻影与幻影武士分摊%damage_reduce_pct%%%伤害。"
"DOTA_Tooltip_ability_huskar_2_damage_pct" 		        "%幻影继承攻击："
"DOTA_Tooltip_ability_huskar_2_physical2magical" 		"%心炎伤害：物理攻击*"
"DOTA_Tooltip_ability_huskar_2_hp_deduce" 		        "%消耗生命值: 当前生命*"
"DOTA_Tooltip_ability_huskar_2_abilityduration" 		"幻影持续时间："
"DOTA_Tooltip_ability_huskar_3" "越战越勇"
"DOTA_Tooltip_ability_huskar_3_Description" "幻影武士的伤痛赐予他力量，根据他损失的生命值将获得攻击速度和物理攻击力百分比加成。"
"DOTA_Tooltip_ability_huskar_3_maximum_attack_speed" "最大攻击速度："
"DOTA_Tooltip_ability_huskar_3_maximum_attack_percent" "%最大物理攻击力："
"DOTA_Tooltip_ability_huskar_3_hp_threshold_max" "%最大加成时生命值："
"DOTA_Tooltip_modifier_huskar_1" 				        "沸血之矛"
"DOTA_Tooltip_modifier_huskar_1_Description" 	        "物理攻击力提升%dMODIFIER_PROPERTY_TOOLTIP%点"
"DOTA_Tooltip_modifier_huskar_1_debuff" 				"沸血之矛"
"DOTA_Tooltip_modifier_huskar_1_debuff_Description" 	"持续灼烧"
"DOTA_Tooltip_modifier_huskar_2_buff" 					"心炎"
"DOTA_Tooltip_modifier_huskar_2_buff_Description" 		"与幻影武士分摊伤害"
"DOTA_Tooltip_modifier_huskar_3" 						"越战越勇"
"DOTA_Tooltip_modifier_huskar_3_Description" 			"物理攻击力提升：%dMODIFIER_PROPERTY_TOOLTIP%%%<br>攻击速度提升: %dMODIFIER_PROPERTY_TOOLTIP%"




// 死亡预言家
"DOTA_Tooltip_ability_death_prophetA_1" "灵魂汲取"
