"DOTA_Tooltip_modifier_star_indicator" 		"STAR"
"DOTA_Tooltip_ability_ogre_med_1_Description" "Ogre Bruiser swings his Mace at enemies, damaging and stunning them, then increases his attack speed for a while."
"DOTA_Tooltip_ability_ogre_med_1_distance" "Max Distance: "
"DOTA_Tooltip_ability_ogre_med_1_bonus_attackspeed" "Bonus Attack Speed: "
"DOTA_Tooltip_ability_ogre_med_1_stun_duration" "Stun Duration: "
"DOTA_Tooltip_ability_ogre_med_1_abilityduration" "Bonus Attack Speed duration: "
"DOTA_Tooltip_ability_ogre_med_1_physical2physical" "%Damage: Physical Damage*"
"DOTA_Tooltip_ability_ogre_med_1_health_damage_pct"	"%Bonus damage：Lost HP*"
//"DOTA_Tooltip_ability_ogre_med_1_hp_per_amplify_per" "%每损失生命百分比效果增加："
"DOTA_Tooltip_ability_ogre_med_2" "Bash of the Wild"
"DOTA_Tooltip_ability_ogre_med_2_Description" "Grants a chance that an attack will do bonus physical damage and stun an enemy. "
"DOTA_Tooltip_ability_ogre_med_2_chance" "%Chance: "
"DOTA_Tooltip_ability_ogre_med_2_stun_duration" "Stun Duration: "
"DOTA_Tooltip_ability_ogre_med_2_physical2physical" "%Damage: Physical Damage*"
"DOTA_Tooltip_ability_ogre_med_3" "Mace Specialization"
"DOTA_Tooltip_ability_ogre_med_3_Description" "When Ogre Bruiser stuns an enemy, his power is strengthened temporarily. Mace Specialization's bonus damage stacks up to %max_stack%."
"DOTA_Tooltip_ability_ogre_med_3_bonus_damage_pct" "%Bonus Damage: Physical Damage*"
"DOTA_Tooltip_ability_ogre_med_3_abilityduration" "Duration: "
"DOTA_Tooltip_modifier_ogre_med_3" "Mace Specialization"
"DOTA_Tooltip_modifier_ogre_med_3_Description" "+%dMODIFIER_PROPERTY_TOOLTIP%%% Physical Damage (%dMODIFIER_PROPERTY_TOOLTIP%)"

//Storm Spirit
"DOTA_Tooltip_ability_storm_spirit_1" "Electrocution"
"DOTA_Tooltip_ability_storm_spirit_1_Description" "Storm Spirit's attack transforms his target into a conductor, and charges his electrical power, which is released in a burst when his power reaches %max_stack%, dealing damage in a radius.\n <h1>Conductive</h1>Grants Storm Spirit with %count% electrical charges per second, and reduces his attack speed by %attackspeed_reduce%. <br>"
"DOTA_Tooltip_ability_storm_spirit_1_magical2magical" 		"%Damage: Magical*"
"DOTA_Tooltip_ability_storm_spirit_1_radius" 				"Radius: "
"DOTA_Tooltip_ability_storm_spirit_1_abilityduration" "Conductor duration: "
//"DOTA_Tooltip_ability_storm_spirit_1_Lore" "-Gains 1 electrical charge and slightly mana restoration whenever a nearby enemy unit cast a spell."
"DOTA_Tooltip_modifier_storm_spirit_1"						"Electrocution"
"DOTA_Tooltip_modifier_storm_spirit_1_Description"			"Cureent Electricity"
"DOTA_Tooltip_modifier_storm_spirit_1_debuff"				"Electrocution"
"DOTA_Tooltip_modifier_storm_spirit_1_debuff_Description"	"Gaining electrical charges with attack speed reduced."
"DOTA_Tooltip_modifier_storm_spirit_1_buff"					"Overload"
"DOTA_Tooltip_modifier_storm_spirit_1_buff_Description"		"Dealing damage in a radius"
"DOTA_Tooltip_ability_storm_spirit_2" "Ball Lightning"
"DOTA_Tooltip_ability_storm_spirit_2_Description" "Storm Spirit becomes volatile electricity, charging across the battlefield untill he reaches his target, transforming the enemiy units in his path into conductors."
"DOTA_Tooltip_ability_storm_spirit_2_damage_pct" "%Damage: Magical*"
//"DOTA_Tooltip_ability_storm_spirit_2_abilityduration" "Conductor Duration: "
"DOTA_Tooltip_ability_storm_spirit_2_Lore" "-Storm Spirit will pick the furthest enemy unit as the target of Ball Lightning."
"DOTA_Tooltip_ability_storm_spirit_3"                               "Static Remnant"
"DOTA_Tooltip_ability_storm_spirit_3_Description"                   "When Storm Spirit transforms an enemy into a conductor, he gains a %chance%%% chance to create an explosively charged image of himself that detonate soon. Passively increases Storm Spirit's attack speed based on his electrical charges and maximum attack speed."
"DOTA_Tooltip_ability_storm_spirit_3_attack_speed_percentage"       "Bonus Attack Speed: Charges*"
"DOTA_Tooltip_ability_storm_spirit_3_max_attack_speed"              "Bonus MAX Attack Speed:"
"DOTA_Tooltip_ability_storm_spirit_3_magical2magical"               "%Remnant Damage: Magical*"
"DOTA_Tooltip_ability_storm_spirit_3_radius"                        "Explosion Radius: "
"DOTA_Tooltip_modifier_storm_spirit_3"						        "Static Remnant"
"DOTA_Tooltip_modifier_storm_spirit_3_Description"			        "Grants bonus attack speed based on electrical charges."

//Earth Spirit
"DOTA_Tooltip_ability_earth_spirit_1" "Rolling Boulder"
"DOTA_Tooltip_ability_earth_spirit_1_Description" 		"Earth Spirit gathers himself into a boulder and rolls forward, damaging and stunning enemy units. Passively increases Earth Spirit's Physical and Magic armor."
"DOTA_Tooltip_ability_earth_spirit_1_damage" 			"%Damage: Physical Attack*"
"DOTA_Tooltip_ability_earth_spirit_1_stun_duration" 	"Stun Duration: "
"DOTA_Tooltip_ability_earth_spirit_1_armor_increase" 	"Bonus armor: Enemy units Hits*"
"DOTA_Tooltip_ability_earth_spirit_1_Lore" 	"-The collision deals the same damage as he attacks"
"DOTA_Tooltip_modifier_earth_spirit_1_armorincrease_buff" 			"Rolling Boulder"
"DOTA_Tooltip_modifier_earth_spirit_1_armorincrease_buff_Description" 			"Gains extra Physical and Magical armor."
"DOTA_Tooltip_ability_earth_spirit_2" "Echo Slam"
"DOTA_Tooltip_ability_earth_spirit_2_Description" 		"Shockwaves travel through the ground, damaging and slowing enemy units. Grants Earth Spirit with the ability to reduce incoming damage."
"DOTA_Tooltip_ability_earth_spirit_2_damage_pct"		"%Damage: Total armor*"
"DOTA_Tooltip_ability_earth_spirit_2_movespeed_reduce"	"%Move Speed Slow: "
"DOTA_Tooltip_ability_earth_spirit_2_radius"			"Radius: "
"DOTA_Tooltip_ability_earth_spirit_2_IncomingDamageReducepct"			"%Damage reduce: "
"DOTA_Tooltip_ability_earth_spirit_2_duration"			"Duration: "
"DOTA_Tooltip_modifier_earth_spirit_2_selfbuff"			"Echo Slam"
"DOTA_Tooltip_modifier_earth_spirit_2_selfbuff_Description"			"Takes less damage."
"DOTA_Tooltip_modifier_earth_spirit_2_buff"				"Echo Slam"
"DOTA_Tooltip_modifier_earth_spirit_2_buff_Description"	"Move speed slowed."
"DOTA_Tooltip_ability_earth_spirit_3" 					"Stone Remnant"
"DOTA_Tooltip_modifier_earth_spirit_3" 					"Stone Remnant"
"DOTA_Tooltip_modifier_earth_spirit_3_Description" 		"Summons a Stone Remnant that has the same abilities as Earth Spirit."
"DOTA_Tooltip_modifier_earth_spirit_3_buff"						"Stone Remnant"
"DOTA_Tooltip_modifier_earth_spirit_3_buff_Description"			"Gains extra Physical and Magical armor."
"DOTA_Tooltip_ability_earth_spirit_3_Description" 		"Earth Spirit smashes a Stone Remnant, damaging and stunning enemies in its path. The Stone Remnant inherited Earth Spirit's abilities and provide bonus physical attack,  physical armor and magical armor."
"DOTA_Tooltip_ability_earth_spirit_3_physical2physical" "%Smash Damage: Physical Attack*"
"DOTA_Tooltip_ability_earth_spirit_3_distance" 			"Stone Knockback Distance: "
"DOTA_Tooltip_ability_earth_spirit_3_duration" 			"Remnant Duration: "
"DOTA_Tooltip_ability_earth_spirit_3_clone_damage_pct" 	"%Remnant Damage: Same as Earth Spirit*"
"DOTA_Tooltip_ability_earth_spirit_3_attack_per_enemy" 	"%Bonus Attack: Enemy units Hits*"
"DOTA_Tooltip_ability_earth_spirit_3_armor_per_enemy" 	"%Bonus Armor: Enemy units Hits*"


//Ember Spirit
"DOTA_Tooltip_ability_ember_spirit_1" 					"Sleight of Fist"
"DOTA_Tooltip_ability_ember_spirit_1_Description" 		"Ember Spirit dashes around with blazing speed, attacking all enemies in the targeted area of effect, then returning to his start location. "
"DOTA_Tooltip_ability_ember_spirit_1_bonus_damage" 		"%Bonus Damage: Physical Attack*"
"DOTA_Tooltip_ability_ember_spirit_1_radius" 			"Radius: "
"DOTA_Tooltip_ability_ember_spirit_1_attack_interval" 	"Attack Interval: "
"DOTA_Tooltip_ability_ember_spirit_2" 					"Flame Guard"
"DOTA_Tooltip_ability_ember_spirit_2_Description"		"Ember Spirit surrounds his allies with a ring of fire that consumes incoming magic damage, leaving them unharmed, igniting and damaging nearby enemies over time."
"DOTA_Tooltip_ability_ember_spirit_2_absorb_damage"		"%Magical Damage Absorbed: Physical Attack*"
"DOTA_Tooltip_ability_ember_spirit_2_radius"			"Damage Radius: "
"DOTA_Tooltip_ability_ember_spirit_2_physical2magical"	"%Damage: Physical Attack*"
"DOTA_Tooltip_ability_ember_spirit_2_abilityduration"	"Guard Duration:"
"DOTA_Tooltip_ability_ember_spirit_2_ignite_duration"	"Ignite Duration:"
"DOTA_Tooltip_ability_ember_spirit_2_ignite_count"	    "Ignite stack per second:"
"DOTA_Tooltip_modifier_ember_spirit_2_buff" 			"Flame Guard"
"DOTA_Tooltip_modifier_ember_spirit_2_buff_Description" "Absorbing magic damage, and dealing damage in an area of effect over time."
"DOTA_Tooltip_ability_ember_spirit_3" 					"Fire Remnant"
"DOTA_Tooltip_ability_ember_spirit_3_Description" 		"Grants Ember Spirit a chance to summon a temporary Fire Remnant that attacks during Sleight of Fist. The Fire Remnant attacks nearby enemies during the summon, detonating and dealing damage around it in the end."
"DOTA_Tooltip_ability_ember_spirit_3_chance" 			"%Summon Chance: "
"DOTA_Tooltip_ability_ember_spirit_3_damage_pct" 		"%Remnant Damage: Physical Attack*"
"DOTA_Tooltip_ability_ember_spirit_3_abilityduration"	"Summon Duration: "
"DOTA_Tooltip_ability_ember_spirit_3_physical2magical" 	"%Explosion Damage: Physical Attack*"
"DOTA_Tooltip_ability_ember_spirit_3_count" 			"Max amount:"

//Emperor of Air
// "DOTA_Tooltip_ability_skywrath_mage_1" "Hex"
// "DOTA_Tooltip_ability_skywrath_mage_1_Description" "Turns a target unit and all the enemy units in 400 around it into harmless critters. The critters take 20/40/60/80/100% more damage."
// "DOTA_Tooltip_ability_skywrath_mage_2" "The Commander in the air"
// "DOTA_Tooltip_ability_skywrath_mage_2_Description" "Gains 10/20/30/40/50% bonus damage to all the aerial allies, and reduces all the aerial enemy units' damage by 10/20/30/40/50%."
// "DOTA_Tooltip_ability_skywrath_mage_3" "Cherishing of Wind"
// "DOTA_Tooltip_ability_skywrath_mage_3_Description" "Surronded by wind, Emperor of Air gains 20/40/60/80/100% bonus Physical armor, and 20/40/60/80/100% bonus evasion."

//Ancient Thunderhide
"DOTA_Tooltip_ability_thunder_lizard_1" "Chain Lightning"
"DOTA_Tooltip_ability_thunder_lizard_1_Description" "Deals Physical Damage to nearby enemies and reduces their magical armor. Chain Lightning stacks additively."
"DOTA_Tooltip_ability_thunder_lizard_1_radius" "Radius: "
"DOTA_Tooltip_ability_thunder_lizard_1_armor_reduce" "Magical Armor Reduce: "
"DOTA_Tooltip_ability_thunder_lizard_1_physical2magical" "%Damage: Physical Attack*"
"DOTA_Tooltip_ability_thunder_lizard_2" "Ancient Mystery"
"DOTA_Tooltip_ability_thunder_lizard_2_Description" "The rhythm of the Ancient Thunderhide's heartbeat resonances with their ancestors' spirit, summoning a herd of Thunderhides that charge at the enemy and trample all the enemy units they collide with. Affected units will be knockback and slowed."
"DOTA_Tooltip_ability_thunder_lizard_2_physical2physical" 	"%Damage: Physical Attack*"
"DOTA_Tooltip_ability_thunder_lizard_2_pull_distance" 	"Knockback distance: "
"DOTA_Tooltip_ability_thunder_lizard_2_slow_duration" 		"Slow duration: "
"DOTA_Tooltip_ability_thunder_lizard_2_slow_pct" 			"%Slow factor: "
"DOTA_Tooltip_ability_thunder_lizard_3" "Thunderhide Aura"
"DOTA_Tooltip_ability_thunder_lizard_3_Description" "Grants Thunderhide with extra armor, and the ability of reducing enemy units' physical armor that are affected by Chain Lightning."
"DOTA_Tooltip_ability_thunder_lizard_3_physical_armor_reduce" "Physical Armor Reduce:"
"DOTA_Tooltip_ability_thunder_lizard_3_armor_bonus_pct" "%Bonus Armor:"
"DOTA_Tooltip_modifier_thunder_lizard_3_debuff"             "Thunderhide Aura"
"DOTA_Tooltip_modifier_thunder_lizard_3_debuff_Description" "- %dMODIFIER_PROPERTY_TOOLTIP% physical armor"

//Faerie Dragon
"DOTA_Tooltip_ability_puck_1" "Illusory Orb"
"DOTA_Tooltip_ability_puck_1_Description" "Faerie Dragon produces and stores Illusory Orbs. When the orbs reach the maximum amount, all the orbs will be launched at the enemy unit with the highest mana."
"DOTA_Tooltip_ability_puck_1_max_count" "Max amount: " 
"DOTA_Tooltip_ability_puck_1_magical2magical" "%Damage: Magical*"
"DOTA_Tooltip_ability_puck_1_damage_target_current_mana_pct" "%Extra Damage: Enemy's Current Mana*"
"DOTA_Tooltip_ability_puck_1_damage_maximum_caster_mana_pct" "%Extra Damage: Max Mana*"
"DOTA_Tooltip_ability_puck_1_Lore" "-Faerie Dragon gets an extra Illusory Orb whenever a nearby unit cast a spell."
"DOTA_Tooltip_modifier_puck_1" "Illusory Orb"
"DOTA_Tooltip_modifier_puck_1_Description" "Deals damage based on Faerie Dragon's magic damage and target's mana."
"DOTA_Tooltip_ability_puck_2" "Arcane Surge"
"DOTA_Tooltip_ability_puck_2_Description" "Increases all the allies' mana capacity. The bonus is doubled for Faerie Dragon. Faerie Dragon steals mana from the enemies hit by Illusory Orb."
"DOTA_Tooltip_ability_puck_2_bonus_maximum_mana" 	"Mana Pool Increased: "
"DOTA_Tooltip_ability_puck_2_hit_absorb_mana" 		"Mana Steal: "
"DOTA_Tooltip_modifier_puck_2_buff"						"Arcane Surge"
"DOTA_Tooltip_modifier_puck_2_buff_Description"			"Mana pool is increased."
"DOTA_Tooltip_ability_puck_3" "Waning Rift"
"DOTA_Tooltip_ability_puck_3_Description" "When attacked, Faerie Dragon blinks to a random spot and releases a burst of faerie dust that deals damage and silences enemy units nearby. The faerie dust will also restore nearby allies' mana."
"DOTA_Tooltip_ability_puck_3_damage_radius" 			"Radius: "
"DOTA_Tooltip_ability_puck_3_magical2magical" 			"%Damage: Magical*"
"DOTA_Tooltip_ability_puck_3_silenced_duration" 		"Silence duration: "
"DOTA_Tooltip_ability_puck_3_restore_mana" 				"Mana restoration: "

//Prowler Shaman
"DOTA_Tooltip_ability_satyr_spawn_a_1" "Desecrate"
"DOTA_Tooltip_ability_satyr_spawn_a_1_Description" "Stomps the ground, dealing damage to nearby units"
"DOTA_Tooltip_ability_satyr_spawn_a_1_damage_magical_armor_pct" 		"%Damage: Magic armor*"
"DOTA_Tooltip_ability_satyr_spawn_a_1_magical_armor_reduce_pct" 		"%Magic armor Reduction: "
"DOTA_Tooltip_ability_satyr_spawn_a_1_magical_armor_reduce_duration" 	"Duration: "
"DOTA_Tooltip_modifier_satyr_spawn_a_1_debuff"						"Desecrate"
"DOTA_Tooltip_modifier_satyr_spawn_a_1_debuff_Description"			"Magic armor reduced."
"DOTA_Tooltip_ability_satyr_spawn_a_2" "Demon Armor"
"DOTA_Tooltip_ability_satyr_spawn_a_2_Description" "Incrases the magical armor of Prowler Shaman and grants it the ability to absorb the damage taken by nearby allies."
"DOTA_Tooltip_ability_satyr_spawn_a_2_magical_armor_bonus_pct" 			"%Magic armor Increment: Physical Attack*"
"DOTA_Tooltip_ability_satyr_spawn_a_2_take_magic_damage_pct" 			"%Damage absorption: "
"DOTA_Tooltip_modifier_satyr_spawn_a_2"						"Demon Armor"
"DOTA_Tooltip_modifier_satyr_spawn_a_2_Description"			"Magic armor increased."
"DOTA_Tooltip_modifier_satyr_spawn_a_2_share_damage"						"Demon Armor"
"DOTA_Tooltip_modifier_satyr_spawn_a_2_share_damage_Description"			"Sharing the Physical Damage taken with Prowler Shaman."
"DOTA_Tooltip_ability_satyr_spawn_a_3" "Puppetry"
"DOTA_Tooltip_ability_satyr_spawn_a_3_Description" "Prowler Shaman's puppetry core allows him to continuing to serve his army after death."
"DOTA_Tooltip_ability_satyr_spawn_a_3_abilityduration" 	"Duration: "
"DOTA_Tooltip_modifier_satyr_spawn_a_3_buff"						"Puppetry"
"DOTA_Tooltip_modifier_satyr_spawn_a_3_buff_Description"			"It is dead, or not dead yet."

//Granite Golem
"DOTA_Tooltip_ability_golemA_1" "Avalanche"
"DOTA_Tooltip_ability_golemA_1_Description" "Bombards an area with rocks, creating an impassable ridge of stone while stunning and damaging enemy units in the target area."
"DOTA_Tooltip_ability_golemA_1_radius" 								"Radius: "
"DOTA_Tooltip_ability_golemA_1_stun_duration" 						"Stun duration: "
"DOTA_Tooltip_ability_golemA_1_obstacle_duration" 					"Ridge duration: "
"DOTA_Tooltip_ability_golemA_1_physical2physical"					"%Physical damage factor: "
"DOTA_Tooltip_ability_golemA_2" "Grow"
"DOTA_Tooltip_ability_golemA_2_Description" "Upon losing a percentage of its health, Granite Golem wraps itself with rocks and taunts nearby enemies. The armor of rocks grants it massive physical and magical armor, and when it ends, Granite Golem gains craggy mass, increasing his attack damage and range, while slowing his attack speed. Granite Golem deals cleave damage after growing 3 times."
"DOTA_Tooltip_ability_golemA_2_attack_bonus_pct" 				"%Bonus damage: "
//"DOTA_Tooltip_ability_golemA_2_attack_range_bonus" 				"Bonus attack range: "
//"DOTA_Tooltip_ability_golemA_2_attack_speed_bonus" 				"Attack Speed Loss: "
"DOTA_Tooltip_ability_golemA_2_buff_duration" 					"Armor duration: "
"DOTA_Tooltip_ability_golemA_2_growup_health_pct" 				"%Health loss threshold: "
"DOTA_Tooltip_ability_golemA_3" "Shatter"
"DOTA_Tooltip_ability_golemA_3_Description" "On death, Granite Golem shatter into 2 Shard Golems. Shatter damages nearby enemies based on their Max HP."
"DOTA_Tooltip_ability_golemA_3_physical2physical" 			"%Damage inheritance:"
"DOTA_Tooltip_ability_golemA_3_boom_radius" 				"Shatter radius: "
"DOTA_Tooltip_ability_golemA_3_boom_damage_maxhealth_pct" 	"%Shatter damage: "

//Doom
"DOTA_Tooltip_ability_doomA_1" 							"Infernal Blade"
"DOTA_Tooltip_ability_doomA_1_Description"				"Doom swings his burning sword, stunning and damaging his target, and detonating it afterwards."
//"DOTA_Tooltip_ability_doomA_1_target_hp_damage_pct"		"%Bonus damage: Enemy Current health*"
"DOTA_Tooltip_ability_doomA_1_stun_duration"			"Stun Duration: "
"DOTA_Tooltip_ability_doomA_1_self_hp_damage_pct"		"%Explosion damage: Max Health of DOOM*"
"DOTA_Tooltip_ability_doomA_1_physical2physical"		"%Explosion damage2: Physical Attack of DOOM*"
"DOTA_Tooltip_ability_doomA_1_radius"					"Explosion radius: "
"DOTA_Tooltip_ability_doomA_1_delay"					"explosion delay: "
"DOTA_Tooltip_ability_doomA_2"							"Scorched Earth"
"DOTA_Tooltip_ability_doomA_2_Description"				"Carpets the nearby earth in flames which damage enemies over time, while also granting Doom his Chaotic Golem increased healing and movement speed. Mini volcano erupts on scorched earth."
"DOTA_Tooltip_ability_doomA_2_health_regen_pct"			"%Health Regen: "
"DOTA_Tooltip_ability_doomA_2_movespeed_pct"			"%Move speed: "
"DOTA_Tooltip_ability_doomA_2_earth_damage_factor"		"%Scorch Damage: Physical Damage*"
"DOTA_Tooltip_ability_doomA_2_radius"					"Radius: "
"DOTA_Tooltip_ability_doomA_2_abilityduration"			"Duration: "
"DOTA_Tooltip_ability_doomA_2_fire_damage_factor"		"%Volcano Damage: Physical Damage*"
//"DOTA_Tooltip_ability_doomA_2_Lore"						"The Fallen One spreads destruction in his wake, sparing none from the flame which sustains him."
"DOTA_Tooltip_modifier_doomA_2_buff"					"Scorched Earth"
"DOTA_Tooltip_modifier_doomA_2_buff_Description"		"Movement speed and health regen increased."
"DOTA_Tooltip_ability_doomA_3"							"Doom"
"DOTA_Tooltip_ability_doomA_3_Description"				"Inflicts a curse over the target enemy. A Chaotic Golem will be summoned if the cursed unit was killed during Doom. The summoning of the Chaotic Golem stuns and damages enemies around.\n<h1>Doom</h1>Silenced, and takes damage over time."
"DOTA_Tooltip_ability_doomA_3_tick_damage_factor"		"%Damage: Physical Damage*"
"DOTA_Tooltip_ability_doomA_3_tick_radius"				"Radius: "
"DOTA_Tooltip_ability_doomA_3_summon_radius"			"Summoning Radius: "
"DOTA_Tooltip_ability_doomA_3_stun_duration"			"Summoning Stun duration: "
"DOTA_Tooltip_ability_doomA_3_summon_damage_factor"		"%Summoning stun damage: *"
"DOTA_Tooltip_ability_doomA_3_attribute_pct"			"%Chaotic Golem attributes inheritance: "
"DOTA_Tooltip_ability_doomA_3_golem_count"				"Max number of Golems: "
"DOTA_Tooltip_ability_doomA_3_Lore"						"-Doom will be casted on the enemy with the lowest health.\n- Cannot silence Boss units."
"DOTA_Tooltip_modifier_doomA_3_debuff"					"Doom"
"DOTA_Tooltip_modifier_doomA_3_debuff_Description"		"Its flesh and blood be fed to Chaotic Golem if its killed."
"DOTA_Tooltip_modifier_doomA_3_buff"					"Doom"
"DOTA_Tooltip_modifier_doomA_3_buff_Description"		"Summoned upon the death of an enemy's flesh."

//Shadow Shaman
"DOTA_Tooltip_ability_shadowshaman_1" "Gu of Rots"
"DOTA_Tooltip_ability_shadowshaman_1_Description" "Shadow Shaman poisons his enemies with Gu when he attacks. Gu attacks its target from inside while its venom lasts."
"DOTA_Tooltip_ability_shadowshaman_1_magical2magical" 	    "%Poison Damage: Magical Attack*"
"DOTA_Tooltip_ability_shadowshaman_1_health_loss" 	        "Attack counts for Gu:"
//"DOTA_Tooltip_ability_shadowshaman_1_AbilityDamage" 	"Gu damage: "
"DOTA_Tooltip_ability_shadowshaman_2" "Shadow Poison"
"DOTA_Tooltip_ability_shadowshaman_2_Description" "Brews up an unstable Shadow Poison that he can throw at an enemy, damaging it over time."
"DOTA_Tooltip_ability_shadowshaman_2_magic_damage_factor" 	"%Base Damage: Magical Attack*"
//"DOTA_Tooltip_ability_shadowshaman_2_hp_damage_pct" 		"%Bonus damage: Enemy Max HP*"
"DOTA_Tooltip_ability_shadowshaman_2_AbilityDuration" 		"Duration: "
"DOTA_Tooltip_ability_shadowshaman_3" "Totem"
"DOTA_Tooltip_ability_shadowshaman_3_Description" 	"Shadow Shaman heals nearby allies whenever he or his Gu deals damage."
"DOTA_Tooltip_ability_shadowshaman_3_heal_pct" 		"%Heal: Damage dealt*"
"DOTA_Tooltip_ability_shadowshaman_3_radius" 		"Radius: "


//Sacred Warrior
"DOTA_Tooltip_ability_huskar_1" "Burning Spear"
"DOTA_Tooltip_ability_huskar_1_Description" "Sacred Warrior sets his spears aflame, dealing damage over time with his regular attack. Sacred Warrior's injuries feed his power. For every %hp_threshold_max%%% loss, his physical damage will be boosted once, and deals extra damage to further enemies."
"DOTA_Tooltip_ability_huskar_1_debuff_duration" "Damage per Second: "
"DOTA_Tooltip_ability_huskar_1_bonus_damage_pct" "%Bonus Damage: Physical Damage*"
"DOTA_Tooltip_ability_huskar_2" "Phantom"
"DOTA_Tooltip_ability_huskar_2_Description" "Sacred Warrior burns his health to summon a Phantom to fight for him."
"DOTA_Tooltip_ability_huskar_2_damage_pct" 		"%Phantom Damage: Physical Damage*"
"DOTA_Tooltip_ability_huskar_2_hp_deduce" 		"%HP burn: Current HP*"
"DOTA_Tooltip_ability_huskar_2_abilityduration" 		"Duration: "
"DOTA_Tooltip_ability_huskar_3" "Berserker's Blood"
"DOTA_Tooltip_ability_huskar_3_Description" 			"For every %hp_threshold_max%%% loss, Sacred Warrior's physical damage, attack speed and health regen will be boosted once."
"DOTA_Tooltip_ability_huskar_3_attackspeed_bonus" 		"%Bonus Physical Damage: "
"DOTA_Tooltip_ability_huskar_3_attack_bonus"			"Bonus Attack speed: "
"DOTA_Tooltip_ability_huskar_3_health_regen_bonus" 		"Bonus health regen: "
"DOTA_Tooltip_modifier_huskar_3" 						"Berserker's Blood"
"DOTA_Tooltip_modifier_huskar_3_Description" 			"Damage increased by %dMODIFIER_PROPERTY_TOOLTIP%; Attack Speed increased by %dMODIFIER_PROPERTY_TOOLTIP%; Health Regen increased by %dMODIFIER_PROPERTY_TOOLTIP%."




//Death Prophet
"DOTA_Tooltip_ability_death_prophetA_1" "Spirit Siphon"
"DOTA_Tooltip_ability_death_prophetA_1_Description" 		"Creates spirit links bewteen Death Prophet and several enemy units around her, dealing damage over time. Damage is increased if the target is Cursed."
"DOTA_Tooltip_ability_death_prophetA_1_radius" 				"Radius: "
"DOTA_Tooltip_ability_death_prophetA_1_target_count" 					"Max Targets: "
"DOTA_Tooltip_ability_death_prophetA_1_interval" 					"Damage Interval:"
"DOTA_Tooltip_ability_death_prophetA_1_magical_factor" 				"%Damage: Magical Attack*"
"DOTA_Tooltip_ability_death_prophetA_1_abilityduration" 						"Duration: "
"DOTA_Tooltip_ability_death_prophetA_1_curse_damage_pct" 				"%Cursed Extra Damage: Magical Attack*"
"DOTA_Tooltip_modifier_death_prophetA_1_debuff" "Spirit Siphon"
"DOTA_Tooltip_modifier_death_prophetA_1_debuff_Description" "Taking damage over time."
"DOTA_Tooltip_ability_death_prophetA_2" "Crypt Curse"
"DOTA_Tooltip_ability_death_prophetA_2_Description" 		"Death Prophet's presence enhances the damage taken by Cursed enemies."
"DOTA_Tooltip_ability_death_prophetA_2_damage_pct" 			"%Damage increment: Curse stacks*"
"DOTA_Tooltip_ability_death_prophetA_2_max_stack" 			"Max Curse stacks: "
"DOTA_Tooltip_modifier_death_prophetA_2_debuff"						"Crypt Curse"
"DOTA_Tooltip_modifier_death_prophetA_2_debuff_Description"			"Damage taken is enhanced."
"DOTA_Tooltip_ability_death_prophetA_3" "Exorcism"
"DOTA_Tooltip_ability_death_prophetA_3_Description" 		"Unleashes evil spirits to damage and curse enemies."
"DOTA_Tooltip_ability_death_prophetA_3_spirits" 			"Number of Spirits: "
"DOTA_Tooltip_ability_death_prophetA_3_magical2magical" 				"%Damage: Magical Attack*"
"DOTA_Tooltip_ability_death_prophetA_3_abilityduration" 				"Exorcism Duration: "
"DOTA_Tooltip_ability_death_prophetA_3_curse_duration" 		"Curse Duration: "
"DOTA_Tooltip_modifier_death_prophetA_3_buff" "Exorcism"
"DOTA_Tooltip_modifier_death_prophetA_3_buff_Description" "These evil spirits will fight for Death Prophet for a while."

//Rogue Knight
"DOTA_Tooltip_ability_sven_1" "Storm Hammer"
"DOTA_Tooltip_ability_sven_1_Description" "Sven leaps into his target, punching with his magical gauntlet that deals damage and stuns enemy units around."
"DOTA_Tooltip_ability_sven_1_physical2physical" "%Damage: Physical Attack*"
"DOTA_Tooltip_ability_sven_1_bolt_aoe" "Radius: "
"DOTA_Tooltip_ability_sven_1_bolt_stun_duration" "Stun Duration: "
"DOTA_Tooltip_ability_sven_2" "God's Strength"
"DOTA_Tooltip_ability_sven_2_Description" "Sven channels his rogue strength, granting bonus damage and health for a short while."
"DOTA_Tooltip_ability_sven_2_damage_pct" 	"%Bonus Attack: "
"DOTA_Tooltip_ability_sven_2_health_pct" 	"%Bonus HP: "
"DOTA_Tooltip_ability_sven_2_abilityduration" 		"Duration: "
"DOTA_Tooltip_modifier_sven_2_buff" "God's Strength"
"DOTA_Tooltip_modifier_sven_2_buff_Description" "With the strength that shattered the Sacred Helm, the Rogue Knight stands unopposed in melee combat."
"DOTA_Tooltip_ability_sven_3" "Warcry"
"DOTA_Tooltip_ability_sven_3_Description" "Sven's Warcry heartens his allied heroes for battle, protecting them by shield and adding pure damage to their attacks."
"DOTA_Tooltip_ability_sven_3_armor_health_pct" "%Shield: Max HP*"
"DOTA_Tooltip_ability_sven_3_pure_damage" 	"%Bonus Pure Damage: Physical Attack*"
"DOTA_Tooltip_ability_sven_3_abilityduration" 		"Duration: "
"DOTA_Tooltip_modifier_sven_3" "Warcry Aura"
"DOTA_Tooltip_modifier_sven_3_Description" "Strengthens nearby allies."
"DOTA_Tooltip_modifier_sven_3_buff" "Warcry"
