"lang"
{
	"Language"	"English"
	"Tokens"
	{
		"BOSS_1"	"Undead Knight"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_4_bosspoint"	"Get everyone's BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_5"	"Abyss Lord Summoning Horn x20"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_5_Description"	"<h1>Active</h1> will summon a powerful BOSS at the central altar of the map, kill it to get a random treasure chest\nHeroes reach %level% to use\nQuality: <font color= \"#e96413\">Orange</font>"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_5_Lore"	"The summoned boss will automatically die if it is not killed within 60 seconds, and no reward will be given."
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_5_bosspoint"	"Get everyone's BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_6"	"Abyss Lord Summoning Horn x50"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_6_Description"	"<h1>Actively</h1> will summon a powerful BOSS at the central altar of the map, kill it to get a random treasure chest\nHeroes reach %level% to use\nQuality: <font color= \"#f1b209\">Golden</font>"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_6_Lore"	"The summoned boss will automatically die if it is not killed within 60 seconds, and no reward will be given."
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_6_bosspoint"	"Get everyone's BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_7"	"Abyss Lord Summoning Horn x100"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_7_Description"	"<h1>Active</h1> will summon a powerful BOSS at the central altar of the map, kill it to get a random treasure chest\nHeroes reach %level% to use\nQuality: <font color= \"#cc2727\">Red</font>"
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_7_Lore"	"The summoned boss will automatically die if it is not killed within 60 seconds, and no reward will be given."
		"DOTA_Tooltip_ability_item_xhp_sjboss_2_7_bosspoint"	"Get everyone's BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_1"	"Junior Lord Summoning Horn Lv.1"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_1_Description"	"<h1>Active</h1> will summon a BOSS, which can be killed to get 1 piece of blue suit.\nHeroes reach the %level% level to use\nQuality: <font color=\"#337ab7\">Blue</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_1_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_2"	"Junior Lord Summoning Horn Lv.2"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_2_Description"	"<h1>Active</h1> will summon a BOSS and get 2 pieces of blue suits for killing.\nHeroes reach the %level% level to use\nQuality: <font color=\"#337ab7\">Blue</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_2_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_3"	"Junior Lord Summoning Horn Lv.3"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_3_Description"	"<h1>Active</h1> will summon a BOSS and get a blue suit for killing.\nHeroes reach %level% to use\nQuality: <font color=\"#337ab7 \">Blue</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_3_3_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_1"	"Intermediate Lord Summoning Horn Lv.1"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_1_Description"	"<h1>Active</h1> will summon a BOSS, which can be killed to get 1 pieces of a purple suit\nHeroes reach the %level% level to use\nQuality: <font color=\" #b11bd1\">Purple</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_1_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_2"	"Intermediate Lord Summoning Horn Lv.2"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_2_Description"	"<h1>Active</h1> will summon a BOSS to get 2 pieces of purple suits for killing.\nHeroes reach %level% to use\nQuality: <font color=\" #b11bd1\">Purple</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_2_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_3"	"Intermediate Lord Summoning Horn Lv.3"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_3_Description"	"<h1>Active</h1> will summon a BOSS and get a purple suit for killing.\nHeroes reach the %level% level to use\nQuality: <font color=\"#b11bd1\">Purple</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_3_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_4"	"High Lord Summoning Horn Lv.1"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_4_Description"	"<h1>Active</h1> will summon a BOSS, which can be killed to get 1 pieces of a high-level purple suit\nHeroes reach %level% to use\nQuality: <font color=\"#e96413\">Orange</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_4_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_5"	"High Lord Summoning Horn Lv.2"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_5_Description"	"<h1>Active</h1> will summon a BOSS to get 2 pieces of advanced purple suit parts\nonly when the hero reaches the %level% level\nQuality: <font color=\"#e96413\">Orange</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_5_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_6"	"High Lord Summoning Horn Lv.3"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_6_Description"	"<h1>Active</h1> will summon a BOSS and get 1 set of high-level purple suits for killing.\nHeroes reach %level% to use\nQuality: <font color=\"#e96413 \">Orange</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_4_6_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_1"	"Top Lord Summoning Horn Lv.1"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_1_Description"	"<h1>Active</h1> will summon a BOSS, which can be killed to get 1 pieces of advanced orange suit\nThe hero reaches the %level% level to use\nQuality: <font color=\"#f1b209\">Golden</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_1_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_2"	"Top Lord Summoning Horn Lv.2"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_2_Description"	"<h1>Active</h1> will summon a BOSS and get 2 pieces of advanced orange suit parts by killing them\nHeroes reach %level% to use\nQuality: <font color=\"#f1b209\">Golden</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_2_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_3"	"Top Lord Summoning Horn Lv.3"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_3_Description"	"<h1>Active</h1> will summon a BOSS and get 1 set of advanced orange suits for killing.\nHeroes reach %level% to use\nQuality: <font color=\"#f1b209 \">Golden</font>"
		"DOTA_Tooltip_ability_item_xhp_tzboss_5_3_bosspoint"	"Get BOSS points after killing +"
		"DOTA_Tooltip_ability_item_xhp_wzts_1"	"Worn page of Heavenly Book"
		"DOTA_Tooltip_ability_item_xhp_wzts_1_Description"	"Quality: Common<br><font color=\"#f0ad4e\">Upon reading the worn page, there is a high chance of obtaining a level 1 skill book, and a small chance of obtaining a skill secret</font>"
		"DOTA_Tooltip_ability_item_xhp_wzts_2"	"Messy page of Heavenly Book"
		"DOTA_Tooltip_ability_item_xhp_wzts_2_Description"	"<font color=\"#5cb85c\">Quality: Uncommon</font><br><font color=\"#f0ad4e\">Upon reading</font><span style=\"color: rgb (240, 173, 78);\">messy page</span><font color=\"#f0ad4e\">, there is a high chance of obtaining a level 2 skill book, or a skill secret</font>"
		"DOTA_Tooltip_ability_item_xhp_wzts_3"	"Mint page of Heavenly Book"
		"DOTA_Tooltip_ability_item_xhp_wzts_3_Description"	"<font color=\"#337ab7\">Quality: Unique</font><br><font color=\"#f0ad4e\">Upon reading</font><span style=\"color: rgb (240, 173, 78);\">mint page</span><font color=\"#f0ad4e\">, there is a high chance of obtaining a level 3 skill book, or a skill secret</font>< br>"
		"DOTA_Tooltip_ability_item_xhp_wzts_3_gold"	"Spend gold"
		"DOTA_Tooltip_ability_item_xhp_wzts_4"	"Chapter of Heavenly Book"
		"DOTA_Tooltip_ability_item_xhp_wzts_4_Description"	"<font color=\"#337ab7\">Quality: Excellent</font><br><font color=\"#f0ad4e\">Upon reading several pages of heavenly books</font><font color=\" #f0ad4e\">,</font><font color=\"#f0ad4e\">there is a high chance of obtaining a level 4 skill book or a skill secret</font>"
		"DOTA_Tooltip_ability_item_xhp_wzts_5"	"Half set of Heavenly Book"
		"DOTA_Tooltip_ability_item_xhp_wzts_5_Description"	"<font color=\"#f0ad4e\">Quality: Brave</font><br><font color=\"#f0ad4e\">Upon reading half a book</font><font color=\" #f0ad4e\">,</font><font color=\"#f0ad4e\">there is a high chance of obtaining a level 5 skill book, or a skill secret book</font><br>"
		"DOTA_Tooltip_ability_item_xhp_wzts_6"	"Almost perfect heavenly book"
		"DOTA_Tooltip_ability_item_xhp_wzts_6_Description"	"<font color=\"#f0ad4e\">Quality: Ancestral</font><br><font color=\"#f0ad4e\">Upon reading almost perfect book of heaven</font><font color= \"#f0ad4e\">,</font><font color=\"#f0ad4e\">there is a high chance of obtaining a level 6 skill book, or a skill secret book</font><br>"
		"DOTA_Tooltip_ability_item_xhp_wzts_7"	"The Complete Heavenly Book"
		"DOTA_Tooltip_ability_item_xhp_wzts_7_Description"	"<font color=\"#d9534f\">Quality: Mythical</font><br><font color=\"#f0ad4e\">Upon reading the complete heavenly book</font><font color=\"# f0ad4e\">,</font><font color=\"#f0ad4e\">there is a high chance of obtaining a level 7 skill book or a skill secret</font><br>"
		"DOTA_Tooltip_ability_item_xhp_xjb"	"Small bag of gold"
		"DOTA_Tooltip_ability_item_xhp_xjb_Description"	"You will get %min%-%max% golds after picking it up"
		"DOTA_Tooltip_ability_item_xhp_zbbx_1"	"Equipment Treasure Box"
		"DOTA_Tooltip_ability_item_xhp_zbbx_1_Description"	"You will get random quality equipment after opening the treasure chest"
		"DOTA_Tooltip_ability_item_zljcjn_bsxx1"	"Frost Nova"
		"DOTA_Tooltip_ability_item_zljcjn_bsxx1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill type: Active\nA burst of damaging frost slows enemy movement and attack rate in the targeted area, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_bsxx2"	"<font color=\"#5cb85c\">Frost Nova</font>"
		"DOTA_Tooltip_ability_item_zljcjn_bsxx2_Description"	"Quality: <font color=\"#5cb85c\">Senior</font>\nSkill type: Active\nA burst of damaging frost slows enemy movement and attack rate in the targeted area, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_bsxx3"	"<font color=\"#337ab7\">Frost Nova</font>"
		"DOTA_Tooltip_ability_item_zljcjn_bsxx3_Description"	"Quality: <font color=\"#337ab7\">Master</font>\nSkill type: Active\nA burst of damaging frost slows enemy movement and attack rate in the targeted area, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_bsxx4"	"<font color=\"#9400D3\">Frost Nova</font>"
		"DOTA_Tooltip_ability_item_zljcjn_bsxx4_Description"	"Quality: <font color=\"#9400D3\">Earth</font>\nSkill type: Active\nA burst of damaging frost slows enemy movement and attack rate in the targeted area, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_bsxx5"	"<font color=\"#fe6d15\">Frost Nova</font>"
		"DOTA_Tooltip_ability_item_zljcjn_bsxx5_Description"	"Quality: <font color=\"#fe6d15\">Heaven</font>\nSkill type: Active\nA burst of damaging frost slows enemy movement and attack rate in the targeted area, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_bsxx6"	"<font color=\"#ffbc09\">Frost Nova</font>"
		"DOTA_Tooltip_ability_item_zljcjn_bsxx6_Description"	"Quality: <font color=\"#ffbc09\">God</font>\nSkill type: Active\nA burst of damaging frost slows enemy movement and attack rate in the targeted area, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_dyh1"	"Hellfire Golem"
		"DOTA_Tooltip_ability_item_zljcjn_dyh1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill Type: Active\nSummons a Hellfire Golem from the depths, stunning enemies dealing Intelligence-based damage.<br><br>Hellfire Golem's HP is 2.2 times hero's HP, Attack power is linked to the hero's main attribute, Attack interval: 1, Attack speed: 100, Armor: 10, able to deal a fatal blow<br><br>Has a passive skill-Immolation. Burns the Hellfire Golem's nearby enemy units, with Maximum HP-based magical damage per second."
		"DOTA_Tooltip_ability_item_zljcjn_dyh1_duration"	"Hellfire Golem Duration"
		"DOTA_Tooltip_ability_item_zljcjn_gjz1"	"Light Strike Array"
		"DOTA_Tooltip_ability_item_zljcjn_gjz1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill Type: Active\nSummons a column of flames that deals Intelligence-based magical damage and stuns enemies."
		"DOTA_Tooltip_ability_item_zljcjn_gjz2"	"<font color=\"#5cb85c\">Light Strike Array</font>"
		"DOTA_Tooltip_ability_item_zljcjn_gjz2_Description"	"Quality: <font color=\"#5cb85c\">Senior</font>\nSkill type: Active\nSummons a column of flames that deals Intelligence-based magical damage and stuns enemies."
		"DOTA_Tooltip_ability_item_zljcjn_gjz3"	"<font color=\"#337ab7\">Light Strike Array</font>"
		"DOTA_Tooltip_ability_item_zljcjn_gjz3_Description"	"Quality: <font color=\"#337ab7\">Master</font>\nSkill type: Active\nSummons a column of flames that deals Intelligence-based magical damage and stuns enemies."
		"DOTA_Tooltip_ability_item_zljcjn_gjz4"	"<font color=\"#9400D3\">Light Strike Array</font>"
		"DOTA_Tooltip_ability_item_zljcjn_gjz4_Description"	"Quality: <font color=\"#9400D3\">Earth</font>\nSkill type: Active\nSummons a column of flames that deals Intelligence-based magical damage and stuns enemies."
		"DOTA_Tooltip_ability_item_zljcjn_gjz5"	"<font color=\"#fe6d15\">Light Strike Array</font>"
		"DOTA_Tooltip_ability_item_zljcjn_gjz5_Description"	"Quality: <font color=\"#fe6d15\">Heaven</font>\nSkill type: Active\nSummons a column of flames that deals Intelligence-based magical damage and stuns enemies."
		"DOTA_Tooltip_ability_item_zljcjn_gjz6"	"<font color=\"#ffbc09\">Light Strike Array</font>"
		"DOTA_Tooltip_ability_item_zljcjn_gjz6_Description"	"Quality: <font color=\"#ffbc09\">God</font>\nSkill type: Active\nSummons a column of flames that deals Intelligence-based magical damage and stuns enemies."
		"DOTA_Tooltip_ability_item_zljcjn_hq1"	"Wall of Fire"
		"DOTA_Tooltip_ability_item_zljcjn_hrhq1"	"Circle the fireball"
		"DOTA_Tooltip_ability_item_zljcjn_hrhq1_Description"	"Summon a stand-in to help you attack the enemies around you"
		"DOTA_Tooltip_ability_item_zljcjn_hrhq2"	"Serial Fireball"
		"DOTA_Tooltip_ability_item_zljcjn_hrhq2_Description"	"Summon a stand-in to help you attack the enemies around you"
		"DOTA_Tooltip_ability_item_zljcjn_hxs1"	"Astrology"
		"DOTA_Tooltip_ability_item_zljcjn_hxs1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill type: Passive\nEvery damage intervals, calls down %max% wave of meteors to deal Intelligence-based damage to nearby enemy units."
		"DOTA_Tooltip_ability_item_zljcjn_hxs2"	"<font color=\"#5cb85c\">Astrology</font>"
		"DOTA_Tooltip_ability_item_zljcjn_hxs2_Description"	"Quality: <font color=\"#5cb85c\">Senior</font>\nSkill type: Passive\n<br>Every damage intervals, calls down %max% wave of meteors to deal Intelligence-based damage to nearby enemy units."
		"DOTA_Tooltip_ability_item_zljcjn_hxs3"	"<font color=\"#337ab7\">Astrology</font>"
		"DOTA_Tooltip_ability_item_zljcjn_hxs3_Description"	"Quality: <font color=\"#337ab7\">Master</font>\nSkill type: Passive\nEvery damage intervals, calls down %max% wave of meteors to deal Intelligence-based damage to nearby enemy units."
		"DOTA_Tooltip_ability_item_zljcjn_hxs4"	"<font color=\"#9400D3\">Astrology</font>"
		"DOTA_Tooltip_ability_item_zljcjn_hxs4_Description"	"Quality: <font color=\"#9400D3\">Earth</font>\nSkill type: Passive\nEvery damage intervals, calls down %max% wave of meteors to deal Intelligence-based damage to nearby enemy units."
		"DOTA_Tooltip_ability_item_zljcjn_hxs5"	"<font color=\"#fe6d15\">Astrology</font>"
		"DOTA_Tooltip_ability_item_zljcjn_hxs5_Description"	"Quality: <font color=\"#fe6d15\">Heaven</font>\nSkill type: Passive\nEvery damage intervals, calls down %max% wave of meteors to deal Intelligence-based damage to nearby enemy units."
		"DOTA_Tooltip_ability_item_zljcjn_hxs6"	"<font color=\"#ffbc09\">Astrology Calling</font>"
		"DOTA_Tooltip_ability_item_zljcjn_hxs6_Description"	"Quality: <font color=\"#ffbc09\">God</font>\nSkill type: Passive\nEvery damage intervals, calls down %max% wave of meteors to deal Intelligence-based damage to nearby enemy units."
		"DOTA_Tooltip_ability_item_zljcjn_hyfb1"	"Firestorm"
		"DOTA_Tooltip_ability_item_zljcjn_hyfb1_Description"	"Quality: <font color=\"#fff\">White Item</font>\nSkill Type: Active\nSummon 5 rain of flames, continuously causing intelligence-related magic damage to enemies in the target area , And will continue to burn the enemy, the burning damage is half of the fire damage"
		"DOTA_Tooltip_ability_item_zljcjn_lgsw1"	"Aura Guard"
		"DOTA_Tooltip_ability_item_zljcjn_lgsw1_Description"	"Summon a stand-in to help you attack the enemies around you"
		"DOTA_Tooltip_ability_item_zljcjn_lpz1"	"Dragon Slave"
		"DOTA_Tooltip_ability_item_zljcjn_lpz1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill Type: Active\nChannels the breath of a dragon, sending out %max% wave of fire that scorches every enemy in its path, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_lpz2"	"<font color=\"#5cb85c\">Dragon Slave</font>"
		"DOTA_Tooltip_ability_item_zljcjn_lpz2_Description"	"Quality: <font color=\"#5cb85c\">Senior</font>\nSkill type: Active\nChannels the breath of a dragon, sending out %max% wave of fire that scorches every enemy in its path, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_lpz3"	"<font color=\"#337ab7\">Dragon Slave</font>"
		"DOTA_Tooltip_ability_item_zljcjn_lpz3_Description"	"Quality: <font color=\"#337ab7\">Master</font>\nSkill type: Active\nChannels the breath of a dragon, sending out %max% wave of fire that scorches every enemy in its path, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_lpz4"	"<font color=\"#9400D3\">Dragon Slave</font>"
		"DOTA_Tooltip_ability_item_zljcjn_lpz4_Description"	"Quality: <font color=\"#9400D3\">Earth</font>\nSkill type: Active\nChannels the breath of a dragon, sending out %max% wave of fire that scorches every enemy in its path, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_lpz5"	"<font color=\"#fe6d15\">Dragon Slave</font>"
		"DOTA_Tooltip_ability_item_zljcjn_lpz5_Description"	"Quality: <font color=\"#fe6d15\">Heaven</font>\nSkill type: Active\nChannels the breath of a dragon, sending out %max% wave of fire that scorches every enemy in its path, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_lpz6"	"<font color=\"#ffbc09\">Dragon Slave</font>"
		"DOTA_Tooltip_ability_item_zljcjn_lpz6_Description"	"Quality: <font color=\"#ffbc09\">God</font>\nSkill type: Active\nChannels the breath of a dragon, sending out %max% wave of fire that scorches every enemy in its path, dealing Intelligence-based magical damage."
		"DOTA_Tooltip_ability_item_zljcjn_lssd1"	"Chain Lightning"
		"DOTA_Tooltip_ability_item_zljcjn_lssd1_Description"	"Quality: <font color=\"#fff\">White Item</font>\nSkill Type: Active\nRelease a lightning bolt that will jump through nearby enemies, causing intelligence-related magic to each enemy hurt"
		"DOTA_Tooltip_ability_item_zljcjn_lssd2"	"<font color=\"#5cb85c\">chain lightning</font>"
		"DOTA_Tooltip_ability_item_zljcjn_lssd2_Description"	"Quality: <font color=\"#5cb85c\">Yellow level</font>\nSkill type: Active\nRelease a lightning bolt that will jump through nearby enemies, causing intelligence-related magic to each enemy hurt"
		"DOTA_Tooltip_ability_item_zljcjn_lssd3"	"<font color=\"#337ab7\">chain lightning</font>"
		"DOTA_Tooltip_ability_item_zljcjn_lssd3_Description"	"Quality: <font color=\"#337ab7\">Mystic level</font>\nSkill type: Active\nRelease a lightning bolt that will jump through nearby enemies, causing intelligence-related magic to each enemy hurt"
		"DOTA_Tooltip_ability_item_zljcjn_qssw1"	"Mass Serpent Wards"
		"DOTA_Tooltip_ability_item_zljcjn_qssw1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill Type: Active\nSummon a group of serpent wards that automatically attack, Attack interval: 1, Attack speed: 100, Armor: 10, damage is linked to the hero's main attribute"
		"DOTA_Tooltip_ability_item_zljcjn_sdhj1"	"Frost Armor"
		"DOTA_Tooltip_ability_item_zljcjn_sdhj1_Description"	"Quality: <font color=\"#fff\">White Item</font>\nSkill Type: Active\nApply a frost shield to surround the target and increase the target’s armor. Against the attacker’s own The unit exerts a layer of frost power, the attack speed and movement speed of the frost-affected unit will be reduced, and it will suffer magical damage related to intelligence."
		"DOTA_Tooltip_ability_item_zljcjn_sszg1"	"Holy Light"
		"DOTA_Tooltip_ability_item_zljcjn_sszg1_Description"	"Quality: <font color=\"#fff\">White Item</font>\nSkill Type: Active\nHeal all nearby friendly units with %radius% codes and cause the same to surrounding units Magic damage"
		"DOTA_Tooltip_ability_item_zljcjn_swmc1"	"Death Pulse"
		"DOTA_Tooltip_ability_item_zljcjn_swmc1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill Type: Active\nReleases a wave of death pulse around the hero, dealing magical damage to enemy units and healing allied units based on Intelligence."
		"DOTA_Tooltip_ability_item_zljcjn_swmc2"	"<font color=\"#5cb85c\">Death Pulse</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swmc2_Description"	"Quality: <font color=\"#5cb85c\">Senior</font>\nSkill type: Active\nRelease death waves around him, damage enemy units and heal friendly units. (and intelligence hook up)"
		"DOTA_Tooltip_ability_item_zljcjn_swmc3"	"<font color=\"#337ab7\">Death Pulse</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swmc3_Description"	"Quality: <font color=\"#337ab7\">Master</font>\nSkill Type: Active\nReleases a wave of death pulse around the hero, dealing magical damage to enemy units and healing allied units based on Intelligence."
		"DOTA_Tooltip_ability_item_zljcjn_swmc4"	"<font color=\"#9400D3\">Death Pulse</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swmc4_Description"	"Quality: <font color=\"#9400D3\">Earth</font>\nSkill type: Active\nReleases a wave of death pulse around the hero, dealing magical damage to enemy units and healing allied units based on Intelligence."
		"DOTA_Tooltip_ability_item_zljcjn_swmc5"	"<font color=\"#fe6d15\">Death Pulse</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swmc5_Description"	"Quality: <font color=\"#fe6d15\">Heaven</font>\nSkill Type: Active\nReleases a wave of death pulse around the hero, dealing magical damage to enemy units and healing allied units based on Intelligence."
		"DOTA_Tooltip_ability_item_zljcjn_swmc6"	"<font color=\"#ffbc09\">Death Pulse</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swmc6_Description"	"Quality: <font color=\"#ffbc09\">God</font>\nSkill Type: Active\nReleases a wave of death pulse around the hero, dealing magical damage to enemy units and healing allied units based on Intelligence."
		"DOTA_Tooltip_ability_item_zljcjn_swsw1"	"Death Ward"
		"DOTA_Tooltip_ability_item_zljcjn_swsw1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill Type: Active\nSummon an automatic attacking death ward, Attack power is linked to the hero's main attribute, Attack interval: 0.5, Attack speed: 100"
		"DOTA_Tooltip_ability_item_zljcjn_swzz1"	"Finger of Death"
		"DOTA_Tooltip_ability_item_zljcjn_swzz1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill Type: Active\nRips at an enemy unit, trying to turn it inside-out. Deals massive Intelligence-based magical damage and grows stronger with each life it consumes."
		"DOTA_Tooltip_ability_item_zljcjn_swzz2"	"<font color=\"#5cb85c\">Finger of Death</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swzz2_Description"	"Quality: <font color=\"#5cb85c\">Senior</font>\nSkill type: Active\nRips at an enemy unit, trying to turn it inside-out. Deals massive Intelligence-based magical damage and grows stronger with each life it consumes."
		"DOTA_Tooltip_ability_item_zljcjn_swzz3"	"<font color=\"#337ab7\">Finger of Death</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swzz3_Description"	"Quality: <font color=\"#337ab7\">Master</font>\nSkill type: Active\nRips at an enemy unit, trying to turn it inside-out. Deals massive Intelligence-based magical damage and grows stronger with each life it consumes."
		"DOTA_Tooltip_ability_item_zljcjn_swzz4"	"<font color=\"#9400D3\">Finger of Death</font>"
		"DOTA_Tooltip_ability_item_zljcjn_swzz4_Description"	"Quality: <font color=\"#9400D3\">Earth</font>\nSkill type: Active\nRips at an enemy unit, trying to turn it inside-out. Deals massive Intelligence-based magical damage and grows stronger with each life it consumes."
		"DOTA_Tooltip_ability_item_zljcjn_tkjj1"	"Scream of Pain"
		"DOTA_Tooltip_ability_item_zljcjn_tkjj1_Description"	"Quality: <font color=\"#fff\">Elementary</font>\nSkill type: Active\nLets loose a piercing scream around the hero, dealing Intelligence-based magical damage to nearby enemies."
		"DOTA_Tooltip_ability_item_zljcjn_tkjj2"	"<font color=\"#5cb85c\">Scream of Pain</font>"
		"DOTA_Tooltip_ability_item_zljcjn_tkjj2_Description"	"Quality: <font color=\"#5cb85c\">Senior</font>\nSkill type: Active\nA scream is emitted, causing intelligence-related magical damage to nearby enemies."
		"DOTA_Tooltip_ability_item_zljcjn_tkjj3"	"<font color=\"#337ab7\">Scream of Pain</font>"
		"DOTA_Tooltip_ability_item_zljcjn_tkjj3_Description"	"Quality: <font color=\"#337ab7\">Master</font>\nSkill type: Active\nA scream is emitted, causing intelligence-related magical damage to nearby enemies."
		"DOTA_Tooltip_ability_item_zljcjn_tkjj4"	"<font color=\"#9400D3\">Scream of Pain</font>"
		"DOTA_Tooltip_ability_item_zljcjn_tkjj4_Description"	"Quality: <font color=\"#9400D3\">Earth</font>\nSkill type: Active\nA scream is emitted, causing intelligence-related magical damage to nearby enemies"
		"DOTA_Tooltip_ability_item_zljcjn_tkjj5"	"<font color=\"#fe6d15\">Scream of Pain</font>"
		"DOTA_Tooltip_ability_item_zljcjn_tkjj5_Description"	"Quality: <font color=\"#fe6d15\">Heaven</font>\nSkill type: Active\nA scream is emitted, causing intelligence-related magical damage to nearby enemies."
		"DOTA_Tooltip_ability_item_zljcjn_tkjj6"	"<font color=\"#ffbc09\">Scream of Pain</font>"
		"DOTA_Tooltip_ability_item_zljcjn_tkjj6_Description"	"Quality: <font color=\"#ffbc09\">God</font>\nSkill type: Active\nA scream is emitted, causing intelligence-related magical damage to nearby enemies"
		"DOTA_Tooltip_ability_item_zljcjn_txfh1"	"Sky Profound Burning Fire"
		"DOTA_Tooltip_ability_item_zljcjn_txfh1_Description"	"Quality: <font color=\"#fff\">White Item</font>\nSkill Type: Active\nSummon Tianxuan burning fire at the target location to cause magical damage related to intelligence, and stun the area The enemy within"
		"DOTA_Tooltip_ability_item_zljcjn_txpsh3"	"DOTA_Tooltip_ability_item_zljcjn_txpsh3"
